variable_code,variable_name
18,Economic activity rate - aged 16-64
19,Economic activity rate - aged 16-19
20,Economic activity rate - aged 20-24
83,Unemployment rate - aged 16+
84,Unemployment rate - aged 16-64
85,Unemployment rate - aged 16-19
86,Unemployment rate - aged 20-24
110,% who are economically inactive - aged 16+
111,% who are economically inactive - aged 16-64
112,% who are economically inactive - aged 16-19
113,% who are economically inactive - aged 20-24
1213,Unemployment rate - aged 16-24
1219,% who are economically inactive - aged 16-24
1493,% of economically inactive student
