CDID,Title,PreUnit,Unit,Release Date,Next release,Important Notes
A9ER,CPI wts: Non-energy industrial goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9ES,CPI wts: Durables GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9ET,CPI wts: Semi-durables GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9EU,CPI wts: Non-durables GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9EV,CPI wts: Non-seasonal food GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9EW,"CPI wts: Food, alcoholic beverages & tobacco GOODS",,Parts per 1000,15-11-2023,20 December 2023,
A9EX,CPI wts: Processed food & non-alcoholic beverages GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9EY,CPI wts: Unprocessed food GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9EZ,CPI wts: Seasonal food GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9F2,CPI wts: Industrial goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9F3,CPI wts: Energy GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9F4,"CPI wts: Electricity, gas & misc. energy GOODS",,Parts per 1000,15-11-2023,20 December 2023,
A9F5,CPI wts: CPI excluding tobacco SPECIAL AGGREGATES,,Parts per 1000,15-11-2023,20 December 2023,
A9F6,CPI wts: Clothing & footwear goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9F7,CPI wts: Housing goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9F8,CPI wts: Household goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9F9,CPI wts: Water supply; materials for maintenance & repair GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9FA,CPI wts: Medical goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9FB,"CPI wts: Vehicles, spare parts & accessories GOODS",,Parts per 1000,15-11-2023,20 December 2023,
A9FC,CPI wts: Recreational goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9FD,CPI wts: Audio-visual goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9FE,CPI wts: Other recreational goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9FF,CPI wts: Miscellaneous goods GOODS,,Parts per 1000,15-11-2023,20 December 2023,
A9FG,CPI wts: Housing services SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FH,CPI wts: Primary housing services SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FI,CPI wts: Other housing services SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FJ,CPI wts: Travel & transport services SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FK,CPI wts: Services for personal transport equipment SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FL,CPI wts: Recreational & personal services SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FM,CPI wts: Package holidays & accommodation SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FN,CPI wts: Other recreational & personal services SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FO,CPI wts: Non-catering recreational & personal services SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FP,CPI wts: Miscellaneous services SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FQ,CPI wts: Miscellaneous & other services SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FR,CPI wts: Medical services (dec 1999=100) SERVICES,,Parts per 1000,15-11-2023,20 December 2023,
A9FS,"CPI wts: Liquid fuels, vehicle fuels & lubricants GOODS",,Parts per 1000,15-11-2023,20 December 2023,
A9FT,CPI wts: CPI excluding energy SPECIAL AGGREGATES,,Parts per 1000,15-11-2023,20 December 2023,
A9FU,"CPI wts: CPI excluding energy, food, alcohol & tobacco SPECIAL AGGREGATES",,Parts per 1000,15-11-2023,20 December 2023,
A9FV,CPI wts: CPI excluding energy & unprocessed food SPECIAL AGGREGATES,,Parts per 1000,15-11-2023,20 December 2023,
A9FW,CPI wts: CPI excluding seasonal food SPECIAL AGGREGATES,,Parts per 1000,15-11-2023,20 December 2023,
A9FX,CPI wts: CPI excluding energy & seasonal food SPECIAL AGGREGATES,,Parts per 1000,15-11-2023,20 December 2023,
A9FY,CPI wts: CPI excluding alcohol & tobacco SPECIAL AGGREGATES,,Parts per 1000,15-11-2023,20 December 2023,
A9FZ,"CPI wts: CPI ex. liquid fuels, vehicle fuels & lubricants SPECIAL AGGREGATES",,Parts per 1000,15-11-2023,20 December 2023,
A9G2,"CPI wts: CPI ex. housing, water, elec., gas & other fuels SPECIAL AGGREGATES",,Parts per 1000,15-11-2023,20 December 2023,
A9G3,"CPI wts: CPI ex. education, health & social protection SPECIAL AGGREGATES",,Parts per 1000,15-11-2023,20 December 2023,
A9G4,"CPI wts: Energy, food, alcohol and tobacco SPECIAL AGGREGATES",,Parts per 1000,15-11-2023,20 December 2023,
A9G5,CPI wts: Energy and unprocessed food SPECIAL AGGREGATES,,Parts per 1000,15-11-2023,20 December 2023,
A9G6,CPI wts: Energy and seasonal food SPECIAL AGGREGATES,,Parts per 1000,15-11-2023,20 December 2023,
A9G7,"CPI wts: Education, health and social protection SPECIAL AGGREGATES",,Parts per 1000,15-11-2023,20 December 2023,
BAMJ,Internal purchasing power of the pound (based on RPI): 1977=100,,Pence,15-11-2023,20 December 2023,
BAMK,Internal purchasing power of the pound (based on RPI): 1978=100,,Pence,15-11-2023,20 December 2023,
BAML,Internal purchasing power of the pound (based on RPI): 1979=100,,Pence,15-11-2023,20 December 2023,
BAMM,Internal purchasing power of the pound (based on RPI): 1980=100,,Pence,15-11-2023,20 December 2023,
BAMN,Internal purchasing power of the pound (based on RPI): 1981=100,,Pence,15-11-2023,20 December 2023,
BAMO,Internal purchasing power of the pound (based on RPI): 1982=100,,Pence,15-11-2023,20 December 2023,
BAMP,Internal purchasing power of the pound (based on RPI): 1983=100,,Pence,15-11-2023,20 December 2023,
BAMQ,Internal purchasing power of the pound (based on RPI): 1984=100,,Pence,15-11-2023,20 December 2023,
BAMR,Internal purchasing power of the pound (based on RPI): 1985=100,,Pence,15-11-2023,20 December 2023,
BAMS,Internal purchasing power of the pound (based on RPI): 1986=100,,Pence,15-11-2023,20 December 2023,
BAMT,Internal purchasing power of the pound (based on RPI): 1987=100,,Pence,15-11-2023,20 December 2023,
BAMU,Internal purchasing power of the pound (based on RPI): 1988=100,,Pence,15-11-2023,20 December 2023,
BAMV,Internal purchasing power of the pound (based on RPI): 1989=100,,Pence,15-11-2023,20 December 2023,
BAMW,Internal purchasing power of the pound (based on RPI): 1990=100,,Pence,15-11-2023,20 December 2023,
BASX,Internal purchasing power of the pound (based on RPI): 1991=100,,Pence,15-11-2023,20 December 2023,
C687,Internal purchasing power of the pound (based on RPI): 2004=100,,Pence,15-11-2023,20 December 2023,
CBVI,RPI:Percentage change over 12 months - Milk fresh,,%,15-11-2023,20 December 2023,
CBVJ,RPI:Percentage change over 12 months - Milk products,,%,15-11-2023,20 December 2023,
CBVK,RPI:Percentage change over 12 months - Tea,,%,15-11-2023,20 December 2023,
CBVL,RPI:Percentage change over 12 months - Coffee and other hot drinks,,%,15-11-2023,20 December 2023,
CBVM,RPI:Weights (parts per 1000) One-person pensioner - Take-aways and snacks,,Parts per 1000,15-11-2023,20 December 2023,
CBVO,RPI:Weights (parts per 1000) One-person pensioner - Beer on sales,,Parts per 1000,15-11-2023,20 December 2023,
CBVP,RPI:Weights (parts per 1000) One-person pensioner - Beer off sales,,Parts per 1000,15-11-2023,20 December 2023,
CBVR,RPI:Weights (parts per 1000) One-person pensioner - Wines & spirits on sales,,Parts per 1000,15-11-2023,20 December 2023,
CBVS,RPI:Weights (parts per 1000) One-person pensioner - Wines & spirits off sales,,Parts per 1000,15-11-2023,20 December 2023,
CBVT,RPI:Weights (parts per 1000) One-person pensioner - Cigarettes,,Parts per 1000,15-11-2023,20 December 2023,
CBVU,RPI:Weights (parts per 1000) One-person pensioner - Other Tobacco,,Parts per 1000,15-11-2023,20 December 2023,
CBVV,RPI:Weights (parts per 1000) - Food and Catering,,Parts per 1000,15-11-2023,20 December 2023,
CBVW,RPI:Weights (parts per 1000) - Alcohol and Tobacco,,Parts per 1000,15-11-2023,20 December 2023,
CBVX,RPI:Weights (parts per 1000) - Housing and Household Expenditure,,Parts per 1000,15-11-2023,20 December 2023,
CBVY,RPI:Weights (parts per 1000) - Personal Expenditure,,Parts per 1000,15-11-2023,20 December 2023,
CBVZ,RPI:Weights (parts per 1000) - Travel and Leisure,,Parts per 1000,15-11-2023,20 December 2023,
CBWA,RPI:Weights (parts per 1000) - Consumer Durables,,Parts per 1000,15-11-2023,20 December 2023,
CBWB,RPI:Weights (parts per 1000) One-person pensioner - Foreign holidays,,Parts per 1000,15-11-2023,20 December 2023,
CBWC,RPI:Weights (parts per 1000) One-person pensioner - Coal and solid fuels,,Parts per 1000,15-11-2023,20 December 2023,
CBWD,RPI:Weights (parts per 1000) One-person pensioner - Electricity,,Parts per 1000,15-11-2023,20 December 2023,
CBWE,RPI:Weights (parts per 1000) One-person pensioner - Gas,,Parts per 1000,15-11-2023,20 December 2023,
CBWF,RPI:Weights (parts per 1000) One-person pensioner - Oil and other fuels,,Parts per 1000,15-11-2023,20 December 2023,
CBWG,RPI:Weights (parts per 1000) One-person pensioner - Furniture,,Parts per 1000,15-11-2023,20 December 2023,
CBWH,RPI:Weights (parts per 1000) One-person pensioner - Furnishings,,Parts per 1000,15-11-2023,20 December 2023,
CBWI,RPI:Weights (parts per 1000) One-person pensioner - Electrical appliances,,Parts per 1000,15-11-2023,20 December 2023,
