CDID,Title,PreUnit,Unit,Release Date,Next release,Important Notes
CBWJ,RPI:Weights (parts per 1000) One-person pensioner - Other household equipment,,Parts per 1000,15-11-2023,20 December 2023,
CBWK,RPI:Weights (parts per 1000) One-person pensioner - Household consumables,,Parts per 1000,15-11-2023,20 December 2023,
CBWL,RPI:Weights (parts per 1000) One-person pensioner - Pet care,,Parts per 1000,15-11-2023,20 December 2023,
CBWM,RPI:Weights (parts per 1000) One-person pensioner - Postage,,Parts per 1000,15-11-2023,20 December 2023,
CBWN,"RPI:Weights (parts per 1000) One-person pensioner - Telephones, telemessages, et",,Parts per 1000,15-11-2023,20 December 2023,
CBWO,RPI:Weights (parts per 1000) One-person pensioner - Domestic services,,Parts per 1000,15-11-2023,20 December 2023,
CBWP,RPI:Weights (parts per 1000) One-person pensioner - Fees and subscriptions,,Parts per 1000,15-11-2023,20 December 2023,
CBWQ,RPI:Weights (parts per 1000) One-person pensioner - Men's outerwear,,Parts per 1000,15-11-2023,20 December 2023,
CBWR,RPI:Weights (parts per 1000) One-person pensioner - Women's outerwear,,Parts per 1000,15-11-2023,20 December 2023,
CBWS,RPI:Weights (parts per 1000) One-person pensioner - Children's outerwear,,Parts per 1000,15-11-2023,20 December 2023,
CBWT,RPI:Weights (parts per 1000) One-person pensioner - Other clothing,,Parts per 1000,15-11-2023,20 December 2023,
CBWU,RPI:Weights (parts per 1000) One-person pensioner - Footwear,,Parts per 1000,15-11-2023,20 December 2023,
CBWV,RPI:Weights (parts per 1000) One-person pensioner - Personal articles,,Parts per 1000,15-11-2023,20 December 2023,
CBWW,RPI:Weights (parts per 1000) One-person pensioner - Chemists goods,,Parts per 1000,15-11-2023,20 December 2023,
CBWX,RPI:Weights (parts per 1000) One-person pensioner - Personal services,,Parts per 1000,15-11-2023,20 December 2023,
CBWY,RPI:Weights (parts per 1000) One-person pensioner - Purchase of motor vehicles,,Parts per 1000,15-11-2023,20 December 2023,
CBWZ,RPI:Weights (parts per 1000) One-person pensioner - Maintenance of motor vehicle,,Parts per 1000,15-11-2023,20 December 2023,
CBXA,RPI:Weights (parts per 1000) One-person pensioner - Petrol and oil,,Parts per 1000,15-11-2023,20 December 2023,
CBXB,RPI:Weights (parts per 1000) One-person pensioner - Vehicles tax and insurance,,Parts per 1000,15-11-2023,20 December 2023,
CBXC,RPI:Weights (parts per 1000) One-person pensioner - Rail fares,,Parts per 1000,15-11-2023,20 December 2023,
CBXD,RPI:Weights (parts per 1000) One-person pensioner - Bus and coach fares,,Parts per 1000,15-11-2023,20 December 2023,
CBXE,RPI:Weights (parts per 1000) One-person pensioner - Other travel costs,,Parts per 1000,15-11-2023,20 December 2023,
CBXF,RPI:Weights (parts per 1000) One-person pensioner - Audio-visual equipment,,Parts per 1000,15-11-2023,20 December 2023,
CBXG,RPI:Weights (parts per 1000) One-person pensioner - Records and tapes,,Parts per 1000,15-11-2023,20 December 2023,
CBXH,"RPI:Weights (parts per 1000) One-person pensioner - Toys, photographic & sports",,Parts per 1000,15-11-2023,20 December 2023,
CBXI,RPI:Weights (parts per 1000) One-person pensioner - Books and newspapers,,Parts per 1000,15-11-2023,20 December 2023,
CBXJ,RPI:Weights (parts per 1000) One-person pensioner - Gardening products,,Parts per 1000,15-11-2023,20 December 2023,
CBXK,RPI:Weights (parts per 1000) One-person pensioner - Television licences and rent,,Parts per 1000,15-11-2023,20 December 2023,
CBXL,RPI:Weights (parts per 1000) One-person pensioner - Entertainment & other recrea,,Parts per 1000,15-11-2023,20 December 2023,
CBXP,RPI:Weights (parts per 1000) Two person pensioner - Foreign holidays,,Parts per 1000,15-11-2023,20 December 2023,
CBXQ,RPI:Weights (parts per 1000) - Foreign holidays,,Parts per 1000,15-11-2023,20 December 2023,
CBXR,RPI:Weights (parts per 1000) One-person pensioner - Food,,Parts per 1000,15-11-2023,20 December 2023,
CBXU,RPI:Weights (parts per 1000) One-person pensioner - Catering,,Parts per 1000,15-11-2023,20 December 2023,
CBXV,RPI:Weights (parts per 1000) One-person pensioner - Alcoholic drink,,Parts per 1000,15-11-2023,20 December 2023,
CBXW,RPI:Weights (parts per 1000) One-person pensioner - Tobacco,,Parts per 1000,15-11-2023,20 December 2023,
CBXX,Internal purchasing power of the pound (based on RPI): 1993=100,,Pence,15-11-2023,20 December 2023,
CBXY,RPI:Weights (parts per 1000) One-person pensioner - Fuel and light,,Parts per 1000,15-11-2023,20 December 2023,
CBXZ,RPI:Weights (parts per 1000) One-person pensioner - Household goods,,Parts per 1000,15-11-2023,20 December 2023,
CBYA,RPI:Weights (parts per 1000) One-person pensioner - Household services,,Parts per 1000,15-11-2023,20 December 2023,
CBYB,RPI:Weights (parts per 1000) One-person pensioner - Clothing and footwear,,Parts per 1000,15-11-2023,20 December 2023,
CBYC,RPI:Weights (parts per 1000) One-person pensioner - Personal goods and services,,Parts per 1000,15-11-2023,20 December 2023,
CBYD,RPI:Weights (parts per 1000) One-person pensioner - Motoring expenditure,,Parts per 1000,15-11-2023,20 December 2023,
CBYE,RPI:Weights (parts per 1000) One-person pensioner - Fares and other travel costs,,Parts per 1000,15-11-2023,20 December 2023,
CBYF,RPI:Weights (parts per 1000) One-person pensioner - Leisure goods,,Parts per 1000,15-11-2023,20 December 2023,
CBYG,RPI:Weights (parts per 1000) One-person pensioner - Leisure services,,Parts per 1000,15-11-2023,20 December 2023,
CBYH,RPI:Weights (parts per 1000) Two-person pensioner - Bread,,Parts per 1000,15-11-2023,20 December 2023,
CBYI,RPI:Weights (parts per 1000) Two-person pensioner - Cereals,,Parts per 1000,15-11-2023,20 December 2023,
CBYJ,RPI:Weights (parts per 1000) Two-person pensioner - Biscuits and cakes,,Parts per 1000,15-11-2023,20 December 2023,
CBYK,RPI:Weights (parts per 1000) Two-person pensioner - Beef,,Parts per 1000,15-11-2023,20 December 2023,
CBYL,RPI:Weights (parts per 1000) Two-person pensioner - Home-killed lamb,,Parts per 1000,15-11-2023,20 December 2023,
CBYM,RPI:Weights (parts per 1000) Two-person pensioner - imported lamb,,Parts per 1000,15-11-2023,20 December 2023,
CBYN,RPI:Weights (parts per 1000) Two-person pensioner - Pork,,Parts per 1000,15-11-2023,20 December 2023,
CBYO,RPI:Weights (parts per 1000) Two-person pensioner - Bacon,,Parts per 1000,15-11-2023,20 December 2023,
CBYP,RPI:Weights (parts per 1000) Two-person pensioner - Poultry,,Parts per 1000,15-11-2023,20 December 2023,
CBYQ,RPI:Weights (parts per 1000) Two-person pensioner - Other meat,,Parts per 1000,15-11-2023,20 December 2023,
CBYR,RPI:Weights (parts per 1000) Two-person pensioner - Fresh fish,,Parts per 1000,15-11-2023,20 December 2023,
CBYS,RPI:Weights (parts per 1000) Two-person pensioner - processed fish,,Parts per 1000,15-11-2023,20 December 2023,
CBYT,RPI:Weights (parts per 1000) Two-person pensioner - Butter,,Parts per 1000,15-11-2023,20 December 2023,
CBYU,RPI:Weights (parts per 1000) Two-person pensioner - Oils and fats,,Parts per 1000,15-11-2023,20 December 2023,
CBYV,RPI:Weights (parts per 1000) Two-person pensioner - Cheese,,Parts per 1000,15-11-2023,20 December 2023,
CBYW,RPI:Weights (parts per 1000) Two-person pensioner - Eggs,,Parts per 1000,15-11-2023,20 December 2023,
CBYX,"RPI:Weights (parts per 1000) Two-person pensioner - Milk, fresh",,Parts per 1000,15-11-2023,20 December 2023,
CBYY,RPI:Weights (parts per 1000) Two-person pensioner - Milk products,,Parts per 1000,15-11-2023,20 December 2023,
CBYZ,RPI:Weights (parts per 1000) Two-person pensioner - Tea,,Parts per 1000,15-11-2023,20 December 2023,
CBZA,RPI:Weights (parts per 1000) Two-person pensioner - Coffee and other hot drinks,,Parts per 1000,15-11-2023,20 December 2023,
CBZB,RPI:Weights (parts per 1000) Two-person pensioner - Soft drinks,,Parts per 1000,15-11-2023,20 December 2023,
CBZC,RPI:Weights (parts per 1000) Two-person pensioner - Sugar and preserves,,Parts per 1000,15-11-2023,20 December 2023,
CBZD,RPI:Weights (parts per 1000) Two-person pensioner - Sweets and chocolates,,Parts per 1000,15-11-2023,20 December 2023,
CBZE,RPI:Weights (parts per 1000) Two-person pensioner - Unprocessed potatoes,,Parts per 1000,15-11-2023,20 December 2023,
CBZF,RPI:Weights (parts per 1000) Two-person pensioner - Processed potatoes,,Parts per 1000,15-11-2023,20 December 2023,
CBZG,RPI:Weights (parts per 1000) Two-person pensioner - Fresh vegetables,,Parts per 1000,15-11-2023,20 December 2023,
CBZH,RPI:Weights (parts per 1000) Two-person pensioner - Processed vegetables,,Parts per 1000,15-11-2023,20 December 2023,
CBZI,RPI:Weights (parts per 1000) Two-person pensioner - Fresh fruit,,Parts per 1000,15-11-2023,20 December 2023,
CBZJ,RPI:Weights (parts per 1000) Two-person pensioner - Processed fruit,,Parts per 1000,15-11-2023,20 December 2023,
CBZK,RPI:Weights (parts per 1000) Two-person pensioner - Other foods,,Parts per 1000,15-11-2023,20 December 2023,
CBZL,RPI:Weights (parts per 1000) Two-person pensioner - Restaurant meals,,Parts per 1000,15-11-2023,20 December 2023,
CBZM,RPI:Weights (parts per 1000) Two-person pensioner - Canteen meals,,Parts per 1000,15-11-2023,20 December 2023,
CBZN,RPI:Weights (parts per 1000) Two-person pensioner - Take-aways and snacks,,Parts per 1000,15-11-2023,20 December 2023,
CBZP,RPI:Weights (parts per 1000) Two-person pensioner - beer on sales,,Parts per 1000,15-11-2023,20 December 2023,
CBZQ,RPI:Weights (parts per 1000) Two-person pensioner - beer off sales,,Parts per 1000,15-11-2023,20 December 2023,
CBZS,RPI:Weights (parts per 1000) Two-person pensioner - wines & spirits on sales,,Parts per 1000,15-11-2023,20 December 2023,
CBZT,RPI:Weights (parts per 1000) Two-person pensioner - wines & spirits off sales,,Parts per 1000,15-11-2023,20 December 2023,
CBZU,RPI:Weights (parts per 1000) Two-person pensioner - Cigarettes,,Parts per 1000,15-11-2023,20 December 2023,
CBZV,RPI:Weights (parts per 1000) Two-person pensioner - Other Tobacco,,Parts per 1000,15-11-2023,20 December 2023,
CBZW,RPI:All items exc mortgage int payments and indirect taxes (RPIY) (Jan 1987=100),,"Index, base year = 100",15-11-2023,20 December 2023,"[Following consultation and a statement by the National Statistician, this index has been discontinued, with the last available data being for January 2017. [Clarification of publication arrangements for the Retail Prices Index and related indices][1] provides further information.


  [1]: https://www.ons.gov.uk/economy/inflationandpriceindices/articles/clarificationofpublicationarrangementsfortheretailpricesindexandrelatedindices/november2016]"
CBZX,RPI:Percentage change over 12 months - All items exc MIPs and indirect taxes,,%,15-11-2023,20 December 2023,"[Following consultation and a statement by the National Statistician, this index has been discontinued, with the last available data being for January 2017. [Clarification of publication arrangements for the Retail Prices Index and related indices][1] provides further information.


  [1]: https://www.ons.gov.uk/economy/inflationandpriceindices/articles/clarificationofpublicationarrangementsfortheretailpricesindexandrelatedindices/november2016]"
CCYX,RPI:Percentage change over 12 months - All items excluding food,,%,15-11-2023,20 December 2023,
CCYY,RPI:Percentage change over 12 months - Food,,%,15-11-2023,20 December 2023,
CCYZ,RPI:Percentage change over 12 months - Bread,,%,15-11-2023,20 December 2023,
CCZA,RPI:Percentage change over 12 months - Cereals,,%,15-11-2023,20 December 2023,
CCZE,RPI:Weights (parts per 1000) Two-person pensioner - Coal and solid fuels,,Parts per 1000,15-11-2023,20 December 2023,
CCZF,RPI:Weights (parts per 1000) Two-person pensioner - Electricity,,Parts per 1000,15-11-2023,20 December 2023,
CCZG,RPI:Weights (parts per 1000) Two-person pensioner - Gas,,Parts per 1000,15-11-2023,20 December 2023,
CCZH,RPI:Weights (parts per 1000) Two-person pensioner - Oil and other fuels,,Parts per 1000,15-11-2023,20 December 2023,
CCZI,RPI:Weights (parts per 1000) Two-person pensioner - Furniture,,Parts per 1000,15-11-2023,20 December 2023,
CCZJ,RPI:Weights (parts per 1000) Two-person pensioner - Furnishings,,Parts per 1000,15-11-2023,20 December 2023,
CCZK,RPI:Weights (parts per 1000) Two-person pensioner - Electrical appliances,,Parts per 1000,15-11-2023,20 December 2023,
CCZL,RPI:Weights (parts per 1000) Two-person pensioner - Other household equipment,,Parts per 1000,15-11-2023,20 December 2023,
CCZM,RPI:Weights (parts per 1000) Two-person pensioner - Household consumables,,Parts per 1000,15-11-2023,20 December 2023,
CCZN,RPI:Weights (parts per 1000) Two-person pensioner - Pet care,,Parts per 1000,15-11-2023,20 December 2023,
CCZO,RPI:Weights (parts per 1000) Two-person pensioner - Postage,,Parts per 1000,15-11-2023,20 December 2023,
CCZP,"RPI:Weights (parts per 1000) Two-person pensioner - Telephones, telemessages, et",,Parts per 1000,15-11-2023,20 December 2023,
CCZQ,RPI:Weights (parts per 1000) Two-person pensioner - Domestic services,,Parts per 1000,15-11-2023,20 December 2023,
CCZR,RPI:Weights (parts per 1000) Two-person pensioner - Fees and subscriptions,,Parts per 1000,15-11-2023,20 December 2023,
CCZS,RPI:Weights (parts per 1000) Two-person pensioner - Men's outerwear,,Parts per 1000,15-11-2023,20 December 2023,
CCZT,RPI:Weights (parts per 1000) Two-person pensioner - Women's outerwear,,Parts per 1000,15-11-2023,20 December 2023,
CCZU,RPI:Weights (parts per 1000) Two-person pensioner - Children's outerwear,,Parts per 1000,15-11-2023,20 December 2023,
CCZV,RPI:Weights (parts per 1000) Two-person pensioner - Other clothing,,Parts per 1000,15-11-2023,20 December 2023,
CCZW,RPI:Weights (parts per 1000) Two-person pensioner - Footwear,,Parts per 1000,15-11-2023,20 December 2023,
CCZX,RPI:Weights (parts per 1000) Two-person pensioner - Personal articles,,Parts per 1000,15-11-2023,20 December 2023,
CCZY,RPI:Weights (parts per 1000) Two-person pensioner - Chemists goods,,Parts per 1000,15-11-2023,20 December 2023,
CCZZ,RPI:Weights (parts per 1000) Two-person pensioner - Personal services,,Parts per 1000,15-11-2023,20 December 2023,
CDIJ,RPI:Percentage change over 12 months - Biscuits and cakes,,%,15-11-2023,20 December 2023,
CDIK,RPI:Percentage change over 12 months - Beef,,%,15-11-2023,20 December 2023,
CDIL,RPI:Percentage change over 12 months - Lamb,,%,15-11-2023,20 December 2023,
CDIM,RPI:Percentage change over 12 months - home-killed lamb,,%,15-11-2023,20 December 2023,
CDIN,RPI:Percentage change over 12 months - Pork,,%,15-11-2023,20 December 2023,
CDIO,RPI:Percentage change over 12 months - Bacon,,%,15-11-2023,20 December 2023,
CDIP,RPI:Percentage change over 12 months - Poultry,,%,15-11-2023,20 December 2023,
CDIQ,RPI:Percentage change over 12 months - Other meat,,%,15-11-2023,20 December 2023,
CDIR,RPI:Percentage change over 12 months - Fish,,%,15-11-2023,20 December 2023,
CDIS,RPI:Percentage change over 12 months - fresh fish,,%,15-11-2023,20 December 2023,
CDIT,RPI:Percentage change over 12 months - Butter,,%,15-11-2023,20 December 2023,
CDIU,RPI:Percentage change over 12 months - Oils and fats,,%,15-11-2023,20 December 2023,
CDIV,RPI:Percentage change over 12 months - Cheese,,%,15-11-2023,20 December 2023,
CDIW,RPI:Percentage change over 12 months - Eggs,,%,15-11-2023,20 December 2023,
CDIX,RPI:Weights (parts per 1000) Two-person pensioner - Purchase of motor vehicles,,Parts per 1000,15-11-2023,20 December 2023,
CDIY,RPI:Weights (parts per 1000) Two-person pensioner - Maintenance of motor vehicle,,Parts per 1000,15-11-2023,20 December 2023,
CDIZ,RPI:Weights (parts per 1000) Two-person pensioner - Petrol and oil,,Parts per 1000,15-11-2023,20 December 2023,
CDJA,RPI:Weights (parts per 1000) Two-person pensioner - Vehicles tax and insurance,,Parts per 1000,15-11-2023,20 December 2023,
CDJB,RPI:Weights (parts per 1000) Two-person pensioner - Rail fares,,Parts per 1000,15-11-2023,20 December 2023,
CDJC,RPI:Weights (parts per 1000) Two-person pensioner - Bus and coach fares,,Parts per 1000,15-11-2023,20 December 2023,
CDJD,RPI:Weights (parts per 1000) Two-person pensioner - Other travel costs,,Parts per 1000,15-11-2023,20 December 2023,
CDJE,RPI:Weights (parts per 1000) Two-person pensioner - Audio-visual equipment,,Parts per 1000,15-11-2023,20 December 2023,
CDJF,RPI:Weights (parts per 1000) Two-person pensioner - Records and tapes,,Parts per 1000,15-11-2023,20 December 2023,
CDJG,"RPI:Weights (parts per 1000) Two-person pensioner - Toys, photographic & sports",,Parts per 1000,15-11-2023,20 December 2023,
CDJH,RPI:Weights (parts per 1000) Two-person pensioner - Books and newspapers,,Parts per 1000,15-11-2023,20 December 2023,
CDJI,RPI:Weights (parts per 1000) Two-person pensioner - Gardening products,,Parts per 1000,15-11-2023,20 December 2023,
CDJJ,RPI:Weights (parts per 1000) Two-person pensioner - Television licences and rent,,Parts per 1000,15-11-2023,20 December 2023,
CDJK,RPI:Weights (parts per 1000) Two-person pensioner - Entertainment & other recrea,,Parts per 1000,15-11-2023,20 December 2023,
CDJQ,RPI:Weights (parts per 1000) Two-person pensioner - Food,,Parts per 1000,15-11-2023,20 December 2023,
CDJT,RPI:Weights (parts per 1000) Two-person pensioner - Catering,,Parts per 1000,15-11-2023,20 December 2023,
CDJU,RPI:Weights (parts per 1000) Two-person pensioner - Alcoholic drink,,Parts per 1000,15-11-2023,20 December 2023,
CDJV,RPI:Weights (parts per 1000) Two-person pensioner - Tobacco,,Parts per 1000,15-11-2023,20 December 2023,
CDJX,RPI:Weights (parts per 1000) Two-person pensioner - Fuel and light,,Parts per 1000,15-11-2023,20 December 2023,
CDJY,RPI:Weights (parts per 1000) Two-person pensioner - Household goods,,Parts per 1000,15-11-2023,20 December 2023,
CDJZ,RPI:Weights (parts per 1000) Two-person pensioner - Household services,,Parts per 1000,15-11-2023,20 December 2023,
CDKA,RPI:Weights (parts per 1000) Two-person pensioner - Clothing and footwear,,Parts per 1000,15-11-2023,20 December 2023,
CDKB,RPI:Weights (parts per 1000) Two-person pensioner - Personal goods and services,,Parts per 1000,15-11-2023,20 December 2023,
CDKC,RPI:Weights (parts per 1000) Two-person pensioner - Motoring expenditure,,Parts per 1000,15-11-2023,20 December 2023,
CDKD,RPI:Weights (parts per 1000) Two-person pensioner - Fares and other travel costs,,Parts per 1000,15-11-2023,20 December 2023,
