LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,NEET,15_19_MEN,PC_AGE,A,2019,7.0256076,
AUS,NEET,15_19_MEN,PC_AGE,A,2020,9.1544647,
AUS,NEET,15_19_MEN,PC_AGE,A,2021,5.1387262,
AUS,NEET,15_19_MEN,PC_AGE,A,2022,5.5822406,
AUS,NEET,20_24_MEN,PC_AGE,A,2019,10.871539,
AUS,NEET,20_24_MEN,PC_AGE,A,2020,15.907754,
AUS,NEET,20_24_MEN,PC_AGE,A,2021,13.7348,
AUS,NEET,20_24_MEN,PC_AGE,A,2022,10.115898,
AUS,NEET,15_19_WOMEN,PC_AGE,A,2019,4.7202554,
AUS,NEET,15_19_WOMEN,PC_AGE,A,2020,5.4474163,
AUS,NEET,15_19_WOMEN,PC_AGE,A,2021,3.9798553,
AUS,NEET,15_19_WOMEN,PC_AGE,A,2022,5.2459016,
AUS,NEET,20_24_WOMEN,PC_AGE,A,2019,11.2099,
AUS,NEET,20_24_WOMEN,PC_AGE,A,2020,15.843313,
AUS,NEET,20_24_WOMEN,PC_AGE,A,2021,10.30409,
AUS,NEET,20_24_WOMEN,PC_AGE,A,2022,10.243773,
AUT,NEET,15_19_MEN,PC_AGE,A,2019,7.1916704,
AUT,NEET,15_19_MEN,PC_AGE,A,2020,5.37,
AUT,NEET,15_19_MEN,PC_AGE,A,2021,8.2955256,
AUT,NEET,15_19_MEN,PC_AGE,A,2022,7.8741236,
AUT,NEET,20_24_MEN,PC_AGE,A,2019,11.63882,
AUT,NEET,20_24_MEN,PC_AGE,A,2020,15.54,
AUT,NEET,20_24_MEN,PC_AGE,A,2021,12.192667,
AUT,NEET,20_24_MEN,PC_AGE,A,2022,11.619196,
AUT,NEET,15_19_WOMEN,PC_AGE,A,2019,5.9712753,
AUT,NEET,15_19_WOMEN,PC_AGE,A,2020,6.04,
AUT,NEET,15_19_WOMEN,PC_AGE,A,2021,4.91503,
AUT,NEET,15_19_WOMEN,PC_AGE,A,2022,6.0723639,
AUT,NEET,20_24_WOMEN,PC_AGE,A,2019,10.122292,
AUT,NEET,20_24_WOMEN,PC_AGE,A,2020,12.11,
AUT,NEET,20_24_WOMEN,PC_AGE,A,2021,12.352662,
AUT,NEET,20_24_WOMEN,PC_AGE,A,2022,9.8659439,
BEL,NEET,15_19_MEN,PC_AGE,A,2019,5.5236273,
BEL,NEET,15_19_MEN,PC_AGE,A,2020,4.8573732,
BEL,NEET,15_19_MEN,PC_AGE,A,2021,5.5430698,
BEL,NEET,15_19_MEN,PC_AGE,A,2022,2.9127383,
BEL,NEET,20_24_MEN,PC_AGE,A,2019,17.185247,
BEL,NEET,20_24_MEN,PC_AGE,A,2020,14.686902,
BEL,NEET,20_24_MEN,PC_AGE,A,2022,12.11511,
BEL,NEET,15_19_WOMEN,PC_AGE,A,2019,3.9821348,
BEL,NEET,15_19_WOMEN,PC_AGE,A,2020,3.540127,
BEL,NEET,15_19_WOMEN,PC_AGE,A,2021,5.1238904,
BEL,NEET,15_19_WOMEN,PC_AGE,A,2022,3.0144892,
BEL,NEET,20_24_WOMEN,PC_AGE,A,2019,13.580202,
BEL,NEET,20_24_WOMEN,PC_AGE,A,2020,13.37264,
BEL,NEET,20_24_WOMEN,PC_AGE,A,2022,9.4406643,
CAN,NEET,15_19_MEN,PC_AGE,A,2019,6.6471162,
CAN,NEET,15_19_MEN,PC_AGE,A,2020,10.171103,
CAN,NEET,15_19_MEN,PC_AGE,A,2021,7.9122972,
CAN,NEET,15_19_MEN,PC_AGE,A,2022,7.0955534,
CAN,NEET,20_24_MEN,PC_AGE,A,2019,13.513514,
CAN,NEET,20_24_MEN,PC_AGE,A,2020,15.7188,
CAN,NEET,20_24_MEN,PC_AGE,A,2021,17.277071,
CAN,NEET,20_24_MEN,PC_AGE,A,2022,15.645162,
CAN,NEET,15_19_WOMEN,PC_AGE,A,2019,4.8654246,
CAN,NEET,15_19_WOMEN,PC_AGE,A,2020,7.8763709,
CAN,NEET,15_19_WOMEN,PC_AGE,A,2021,5.4617677,
CAN,NEET,15_19_WOMEN,PC_AGE,A,2022,4.729064,
CAN,NEET,20_24_WOMEN,PC_AGE,A,2019,11.535126,
CAN,NEET,20_24_WOMEN,PC_AGE,A,2020,12.209803,
CAN,NEET,20_24_WOMEN,PC_AGE,A,2021,13.148788,
CAN,NEET,20_24_WOMEN,PC_AGE,A,2022,9.652174,
CZE,NEET,15_19_MEN,PC_AGE,A,2019,1.651027,
CZE,NEET,15_19_MEN,PC_AGE,A,2020,2.0413942,
CZE,NEET,15_19_MEN,PC_AGE,A,2021,4.0319009,
CZE,NEET,15_19_MEN,PC_AGE,A,2022,8.1524849,
CZE,NEET,20_24_MEN,PC_AGE,A,2019,5.1168313,
CZE,NEET,20_24_MEN,PC_AGE,A,2020,5.3530183,
CZE,NEET,20_24_MEN,PC_AGE,A,2021,6.1939859,
CZE,NEET,20_24_MEN,PC_AGE,A,2022,7.0604,
CZE,NEET,15_19_WOMEN,PC_AGE,A,2019,1.9267942,
CZE,NEET,15_19_WOMEN,PC_AGE,A,2020,2.745635,
CZE,NEET,15_19_WOMEN,PC_AGE,A,2021,3.782886,
