PCON24CD,PCON22CD,weight
E14001063,E14000530,0.928
E14001063,E14000844,0.072
E14001064,E14000531,0.826
E14001064,E14001012,0.173
E14001065,E14000532,1.0
E14001066,E14000533,0.998
E14001066,E14000814,0.002
E14001067,E14000534,0.581
E14001067,E14000576,0.002
E14001067,E14000633,0.417
E14001068,E14000535,0.941
E14001068,E14000810,0.059
E14001069,E14000536,0.296
E14001069,E14000704,0.704
E14001070,E14000537,0.711
E14001070,E14000661,0.289
E14001071,E14000538,0.239
E14001071,E14000608,0.761
E14001072,E14000539,0.548
E14001072,E14001046,0.452
E14001073,E14000540,0.999
E14001074,E14000541,0.607
E14001074,E14000542,0.393
E14001075,E14000541,0.037
E14001075,E14000542,0.757
E14001075,E14001028,0.206
E14001076,E14000543,0.477
E14001076,E14000647,0.517
E14001077,E14000544,0.973
E14001077,E14000933,0.027
E14001078,E14000545,0.368
E14001078,E14000857,0.632
E14001079,E14000546,1.0
E14001080,E14000547,0.39
E14001080,E14000846,0.61
E14001081,E14000549,0.998
E14001082,E14000550,1.0
E14001083,E14000551,0.671
E14001083,E14000788,0.329
E14001084,E14000552,0.986
E14001084,E14000841,0.014
E14001085,E14000553,0.983
E14001085,E14000615,0.016
E14001086,E14000555,0.875
E14001086,E14000882,0.124
E14001087,E14000556,1.0
E14001088,E14000557,0.879
E14001088,E14000735,0.121
E14001089,E14000558,0.868
E14001089,E14000696,0.132
E14001090,E14000539,0.408
E14001090,E14000742,0.217
E14001090,E14000874,0.062
E14001090,E14001046,0.314
E14001091,E14000559,0.774
E14001091,E14001043,0.225
E14001092,E14000560,0.935
E14001092,E14000564,0.065
E14001093,E14000561,0.875
E14001093,E14000566,0.125
E14001094,E14000562,0.913
E14001094,E14000567,0.038
E14001094,E14000568,0.049
E14001095,E14000563,0.639
E14001095,E14000568,0.141
E14001095,E14000812,0.219
E14001096,E14000560,0.005
E14001096,E14000562,0.057
E14001096,E14000563,0.125
E14001096,E14000564,0.81
E14001096,E14000566,0.001
E14001096,E14000568,0.002
E14001097,E14000560,0.022
E14001097,E14000565,0.975
E14001097,E14000567,0.003
E14001098,E14000564,0.122
E14001098,E14000566,0.877
E14001099,E14000562,0.021
E14001099,E14000565,0.006
E14001099,E14000567,0.973
E14001100,E14000562,0.008
E14001100,E14000563,0.078
E14001100,E14000568,0.914
E14001101,E14000569,0.668
E14001101,E14000856,0.332
E14001102,E14000570,0.993
E14001102,E14000902,0.007
E14001103,E14000571,0.659
E14001103,E14000747,0.232
E14001103,E14000807,0.108
E14001104,E14000572,0.498
E14001104,E14000776,0.288
E14001104,E14001057,0.21
E14001105,E14000572,0.226
E14001105,E14000573,0.773
E14001106,E14000574,0.51
E14001106,E14000856,0.49
E14001107,E14000575,0.221
E14001107,E14001014,0.777
E14001108,E14000576,0.924
E14001108,E14001055,0.075
E14001109,E14000577,0.99
E14001109,E14000843,0.01
E14001110,E14000578,0.874
E14001110,E14000579,0.125
E14001111,E14000579,0.632
E14001111,E14001054,0.367
E14001112,E14000579,0.135
E14001112,E14000580,0.865
E14001113,E14000581,1.0
E14001114,E14000582,0.854
E14001114,E14000798,0.145
E14001115,E14000584,0.996
E14001115,E14000585,0.002
E14001115,E14000638,0.001
E14001116,E14000585,0.97
E14001116,E14000881,0.029
E14001117,E14000586,0.962
E14001117,E14001042,0.038
E14001118,E14000587,1.0
E14001119,E14000587,0.02
E14001119,E14000588,0.98
E14001120,E14000589,1.0
E14001121,E14000590,0.79
E14001121,E14000910,0.195
E14001121,E14001045,0.015
E14001122,E14000591,0.754
E14001122,E14000592,0.15
E14001122,E14000727,0.095
E14001123,E14000591,0.149
E14001123,E14000592,0.85
E14001124,E14000593,0.846
E14001124,E14000701,0.079
E14001124,E14001005,0.075
E14001125,E14000594,1.0
E14001126,E14000595,0.919
E14001126,E14001026,0.081
E14001127,E14000556,0.07
E14001127,E14000683,0.93
E14001128,E14000596,0.337
E14001128,E14000643,0.656
E14001128,E14000716,0.007
E14001129,E14000597,0.994
E14001129,E14000598,0.005
E14001130,E14000598,1.0
E14001131,E14000602,0.999
E14001132,E14000599,0.666
E14001132,E14000601,0.105
E14001132,E14000602,0.229
E14001133,E14000599,0.424
E14001133,E14000600,0.199
E14001133,E14000702,0.071
E14001133,E14000774,0.305
E14001134,E14000600,0.965
E14001134,E14000602,0.035
E14001135,E14000601,1.0
E14001136,E14000603,1.0
E14001137,E14000551,0.412
E14001137,E14000604,0.27
E14001137,E14000872,0.318
E14001138,E14000605,1.0
E14001139,E14000606,0.594
E14001139,E14000744,0.406
E14001140,E14000535,0.235
E14001140,E14000607,0.765
E14001141,E14000608,0.946
E14001141,E14000822,0.054
E14001142,E14000609,0.925
E14001142,E14000875,0.074
E14001143,E14000610,1.0
E14001144,E14000611,0.878
E14001144,E14000612,0.122
E14001145,E14000571,0.073
E14001145,E14000612,0.926
E14001146,E14000613,0.653
E14001146,E14001034,0.347
E14001147,E14000614,1.0
E14001148,E14000616,0.789
E14001148,E14001003,0.211
E14001149,E14000617,0.999
E14001150,E14000618,1.0
E14001151,E14000619,0.999
E14001151,E14000852,0.001
E14001152,E14000620,0.08
E14001152,E14000877,0.92
E14001153,E14000621,0.996
E14001153,E14000984,0.003
E14001154,E14000622,0.773
E14001154,E14000933,0.225
E14001155,E14000623,0.995
E14001155,E14000835,0.005
E14001156,E14000613,0.054
E14001156,E14000624,0.896
E14001156,E14000981,0.05
E14001157,E14000626,0.931
E14001157,E14000898,0.069
E14001158,E14000627,1.0
E14001159,E14000628,1.0
E14001160,E14000629,0.85
E14001160,E14000726,0.142
E14001160,E14000768,0.007
E14001161,E14000630,0.999
E14001162,E14000550,0.074
E14001162,E14000631,0.897
E14001162,E14001056,0.029
E14001163,E14000640,0.557
E14001163,E14000688,0.442
E14001164,E14000640,0.087
E14001164,E14000653,0.066
E14001164,E14000686,0.81
E14001164,E14001024,0.037
E14001165,E14000632,1.0
E14001166,E14000576,0.058
E14001166,E14000633,0.942
E14001167,E14000634,0.816
E14001167,E14000759,0.183
E14001168,E14000635,0.195
E14001168,E14000665,0.078
E14001168,E14000860,0.727
E14001169,E14000636,0.787
E14001169,E14000703,0.001
E14001169,E14000741,0.212
E14001170,E14000637,1.0
E14001171,E14000638,0.95
E14001171,E14000839,0.049
E14001172,E14000639,0.819
E14001172,E14001036,0.179
E14001173,E14000641,0.644
E14001173,E14000856,0.356
E14001174,E14000642,0.655
E14001174,E14000734,0.345
E14001175,E14000673,0.001
E14001175,E14000978,0.601
E14001175,E14001008,0.398
E14001176,E14000644,0.961
E14001176,E14000734,0.039
E14001177,E14000645,1.0
E14001178,E14000646,0.96
E14001178,E14000686,0.04
E14001179,E14000648,1.0
E14001180,E14000649,0.824
E14001180,E14000651,0.176
E14001180,E14000905,0.001
E14001181,E14000650,1.0
E14001182,E14000649,0.112
E14001182,E14000651,0.888
E14001183,E14000575,0.522
E14001183,E14000833,0.177
E14001183,E14000853,0.211
E14001183,E14001006,0.09
E14001184,E14000652,0.999
E14001185,E14000653,0.957
E14001185,E14000686,0.043
E14001186,E14000654,0.829
E14001186,E14000656,0.171
E14001187,E14000654,0.058
E14001187,E14000656,0.942
E14001188,E14000654,0.107
E14001188,E14000655,0.667
E14001188,E14000656,0.226
E14001189,E14000540,0.033
E14001189,E14000657,0.954
E14001189,E14000751,0.013
E14001190,E14000658,0.265
E14001190,E14000915,0.735
E14001191,E14000659,1.0
E14001192,E14000660,0.896
E14001192,E14000942,0.053
