PCON24CD,PCON22CD,weight
E14001192,E14001025,0.051
E14001193,E14000662,1.0
E14001194,E14000663,1.0
E14001195,E14000664,0.948
E14001195,E14000935,0.052
E14001196,E14000548,0.225
E14001196,E14000666,0.774
E14001197,E14000742,0.095
E14001197,E14001015,0.905
E14001198,E14000667,0.559
E14001198,E14000668,0.441
E14001199,E14000596,0.558
E14001199,E14000667,0.375
E14001199,E14000669,0.066
E14001200,E14000668,0.047
E14001200,E14000669,0.953
E14001201,E14000681,0.04
E14001201,E14000719,0.058
E14001201,E14000824,0.835
E14001201,E14000893,0.067
E14001202,E14000670,0.976
E14001202,E14000948,0.024
E14001203,E14000818,1.0
E14001204,E14000671,0.813
E14001204,E14000672,0.187
E14001205,E14000615,0.076
E14001205,E14000673,0.924
E14001206,E14000801,0.001
E14001206,E14000949,0.999
E14001207,E14000674,0.799
E14001207,E14000675,0.002
E14001207,E14000726,0.199
E14001208,E14000675,1.0
E14001209,E14000674,0.096
E14001209,E14000675,0.017
E14001209,E14000676,0.887
E14001210,E14000803,0.144
E14001210,E14000889,0.217
E14001210,E14000890,0.119
E14001210,E14001048,0.52
E14001211,E14000641,0.042
E14001211,E14000677,0.79
E14001211,E14000915,0.168
E14001212,E14000753,0.225
E14001212,E14000786,0.19
E14001212,E14000817,0.215
E14001212,E14001023,0.369
E14001213,E14000679,1.0
E14001214,E14000680,0.754
E14001214,E14000811,0.099
E14001214,E14000844,0.118
E14001214,E14000857,0.029
E14001215,E14000681,0.955
E14001215,E14000893,0.045
E14001216,E14000852,0.165
E14001216,E14000948,0.834
E14001217,E14000665,0.747
E14001217,E14000912,0.163
E14001217,E14000947,0.09
E14001218,E14000682,0.999
E14001219,E14000684,1.0
E14001220,E14000685,0.812
E14001220,E14000901,0.048
E14001220,E14001041,0.14
E14001221,E14000687,0.714
E14001221,E14000691,0.002
E14001221,E14000692,0.284
E14001222,E14000688,0.592
E14001222,E14001043,0.407
E14001223,E14000604,0.419
E14001223,E14000690,0.58
E14001224,E14000842,0.244
E14001224,E14000934,0.048
E14001224,E14000937,0.708
E14001225,E14000687,0.092
E14001225,E14000691,0.896
E14001225,E14000692,0.012
E14001226,E14000693,1.0
E14001227,E14000694,0.784
E14001227,E14000824,0.216
E14001228,E14000695,1.0
E14001229,E14000558,0.005
E14001229,E14000690,0.146
E14001229,E14000696,0.789
E14001229,E14000718,0.06
E14001230,E14000697,0.957
E14001230,E14000907,0.042
E14001231,E14000678,0.029
E14001231,E14000698,0.971
E14001232,E14000623,0.121
E14001232,E14000678,0.858
E14001232,E14000698,0.021
E14001233,E14000699,0.284
E14001233,E14000811,0.716
E14001234,E14000680,0.449
E14001234,E14000953,0.551
E14001235,E14000700,0.806
E14001235,E14000927,0.194
E14001236,E14000701,1.0
E14001237,E14000702,0.872
E14001237,E14000774,0.1
E14001237,E14000994,0.028
E14001238,E14000636,0.01
E14001238,E14000703,0.99
E14001239,E14000704,1.0
E14001240,E14000705,1.0
E14001241,E14000846,0.198
E14001241,E14000932,0.744
E14001241,E14001026,0.058
E14001242,E14000706,0.95
E14001242,E14001057,0.049
E14001243,E14000707,1.0
E14001244,E14000574,0.547
E14001244,E14000709,0.452
E14001245,E14000710,0.596
E14001245,E14000924,0.404
E14001246,E14000711,1.0
E14001247,E14000932,0.857
E14001247,E14001026,0.046
E14001247,E14001060,0.097
E14001248,E14000712,0.999
E14001249,E14000719,0.361
E14001249,E14000824,0.128
E14001249,E14000953,0.473
E14001249,E14000983,0.038
E14001250,E14000596,0.196
E14001250,E14000683,0.241
E14001250,E14000724,0.563
E14001251,E14000661,0.475
E14001251,E14000808,0.438
E14001251,E14000809,0.086
E14001252,E14000713,0.999
E14001253,E14000714,0.463
E14001253,E14000929,0.537
E14001254,E14000715,1.0
E14001255,E14000643,0.277
E14001255,E14000716,0.722
E14001256,E14000717,0.999
E14001257,E14000718,0.999
E14001258,E14000719,0.378
E14001258,E14000824,0.622
E14001259,E14000720,0.783
E14001259,E14000721,0.216
E14001260,E14000555,0.001
E14001260,E14000720,0.079
E14001260,E14000721,0.921
E14001261,E14000722,0.749
E14001261,E14000976,0.251
E14001262,E14000614,0.062
E14001262,E14000723,0.938
E14001263,E14000685,0.337
E14001263,E14000699,0.383
E14001263,E14000811,0.279
E14001264,E14000593,0.535
E14001264,E14000726,0.463
E14001264,E14000768,0.001
E14001265,E14000727,0.562
E14001265,E14000750,0.255
E14001265,E14000752,0.182
E14001266,E14000728,0.919
E14001266,E14000909,0.081
E14001267,E14000594,0.003
E14001267,E14000729,0.52
E14001267,E14000910,0.477
E14001268,E14000739,0.275
E14001268,E14000749,0.409
E14001268,E14000951,0.316
E14001269,E14000730,0.792
E14001269,E14000917,0.153
E14001269,E14000928,0.054
E14001270,E14000592,0.086
E14001270,E14000731,0.908
E14001270,E14000732,0.001
E14001270,E14000906,0.005
E14001271,E14000731,0.058
E14001271,E14000732,0.942
E14001272,E14000733,0.997
E14001273,E14000644,0.015
E14001273,E14000734,0.984
E14001274,E14000557,0.14
E14001274,E14000735,0.86
E14001275,E14000736,0.999
E14001276,E14000737,1.0
E14001277,E14000738,0.95
E14001277,E14000969,0.05
E14001278,E14000739,0.483
E14001278,E14000951,0.517
E14001279,E14000741,0.999
E14001280,E14000742,1.0
E14001281,E14000743,0.975
E14001281,E14000847,0.025
E14001282,E14000619,0.059
E14001282,E14000852,0.543
E14001282,E14000948,0.397
E14001283,E14000744,1.0
E14001284,E14000606,0.129
E14001284,E14000745,0.819
E14001284,E14001027,0.052
E14001285,E14000554,0.103
E14001285,E14000746,0.879
E14001285,E14000833,0.009
E14001285,E14001014,0.009
E14001286,E14000747,0.918
E14001286,E14000897,0.082
E14001287,E14000748,1.0
E14001288,E14000583,0.853
E14001288,E14000858,0.146
E14001289,E14000749,0.681
E14001289,E14000813,0.163
E14001289,E14000841,0.155
E14001290,E14000727,0.002
E14001290,E14000750,0.998
E14001291,E14000678,0.188
E14001291,E14000996,0.812
E14001292,E14000751,1.0
E14001293,E14000636,0.196
E14001293,E14000703,0.003
E14001293,E14000752,0.687
E14001293,E14001002,0.114
E14001294,E14000534,0.17
E14001294,E14000753,0.83
E14001295,E14000754,0.954
E14001295,E14001020,0.045
E14001296,E14000755,0.999
E14001297,E14000645,0.158
E14001297,E14000756,0.841
E14001298,E14000757,0.39
E14001298,E14000855,0.61
E14001299,E14000758,1.0
E14001300,E14000759,0.877
E14001300,E14000760,0.121
E14001300,E14000790,0.002
E14001301,E14000657,0.223
E14001301,E14000760,0.776
E14001302,E14000761,0.999
E14001303,E14000762,1.0
E14001304,E14000762,1.0
E14001305,E14000763,0.999
E14001306,E14000721,0.074
E14001306,E14000764,0.926
E14001307,E14000709,0.138
E14001307,E14000765,0.861
E14001308,E14000766,0.999
E14001308,E14000925,0.001
E14001309,E14000767,0.873
E14001309,E14000905,0.003
E14001309,E14000977,0.063
E14001309,E14001019,0.06
E14001310,E14000629,0.029
E14001310,E14000639,0.097
E14001310,E14000768,0.773
E14001310,E14001036,0.101
E14001311,E14000648,0.098
E14001311,E14000769,0.902
E14001312,E14000770,0.936
E14001312,E14000896,0.063
E14001313,E14000771,0.836
E14001313,E14000772,0.163
E14001314,E14000724,0.398
E14001314,E14000771,0.015
E14001314,E14000772,0.52
E14001314,E14000773,0.066
E14001315,E14000724,0.423
E14001315,E14000773,0.576
E14001316,E14000672,0.056
E14001316,E14000945,0.943
E14001317,E14000775,0.988
E14001317,E14000963,0.012
E14001318,E14000776,0.641
E14001318,E14000825,0.008
E14001318,E14001057,0.35
E14001319,E14000777,0.297
E14001319,E14000779,0.001
E14001319,E14000780,0.437
E14001319,E14000781,0.265
E14001320,E14000689,0.496
E14001320,E14000778,0.504
E14001321,E14000779,1.0
E14001322,E14000779,0.001
E14001322,E14000780,0.622
E14001322,E14000886,0.377
E14001323,E14000777,0.899
E14001323,E14000778,0.097
E14001323,E14000826,0.003
E14001324,E14000777,0.005
E14001324,E14000781,0.219
E14001324,E14000826,0.776
E14001325,E14000777,0.002
E14001325,E14000781,0.352
E14001325,E14000886,0.646
E14001326,E14000782,1.0
E14001327,E14000782,0.094
E14001327,E14000783,0.905
E14001328,E14000783,0.117
E14001328,E14000784,0.883
E14001329,E14000580,0.089
E14001329,E14000785,0.91
E14001330,E14000557,0.027
E14001330,E14000684,0.03
E14001330,E14000786,0.835
E14001330,E14001023,0.108
E14001331,E14000787,0.782
E14001331,E14000788,0.168
E14001331,E14000789,0.05
E14001332,E14000787,0.201
E14001332,E14000789,0.798
E14001333,E14000615,0.228
E14001333,E14000673,0.127
E14001333,E14000788,0.494
E14001333,E14000789,0.151
E14001334,E14000634,0.028
E14001334,E14000759,0.053
E14001334,E14000760,0.033
E14001334,E14000790,0.886
E14001335,E14000791,0.976
E14001335,E14000986,0.024
E14001336,E14000792,0.999
E14001336,E14000929,0.001
E14001337,E14000708,0.897
E14001337,E14000795,0.102
E14001338,E14000793,0.724
E14001338,E14000794,0.275
E14001339,E14000794,0.547
E14001339,E14000796,0.312
E14001339,E14000916,0.14
E14001340,E14000793,0.436
E14001340,E14000795,0.564
E14001341,E14000775,0.191
E14001341,E14000795,0.134
E14001341,E14000796,0.675
E14001342,E14000797,1.0
E14001343,E14000582,0.007
E14001343,E14000707,0.035
E14001343,E14000798,0.958
E14001344,E14001022,0.998
E14001345,E14000800,0.857
E14001345,E14000801,0.143
E14001346,E14000801,0.522
E14001346,E14000949,0.478
E14001347,E14000802,1.0
E14001348,E14000803,0.658
E14001348,E14001042,0.342
E14001349,E14000626,0.188
E14001349,E14000804,0.474
E14001349,E14000997,0.338
E14001350,E14000785,0.019
E14001350,E14000805,0.981
E14001351,E14000628,0.023
E14001351,E14000806,0.976
E14001352,E14000537,0.257
E14001352,E14000571,0.124
E14001352,E14000807,0.619
E14001353,E14000807,0.56
E14001353,E14000808,0.44
E14001354,E14000808,0.045
E14001354,E14000809,0.954
E14001355,E14000810,1.0
E14001356,E14000635,0.255
E14001356,E14000665,0.516
E14001356,E14000860,0.129
E14001356,E14000954,0.1
E14001357,E14000625,0.141
E14001357,E14000797,0.014
E14001357,E14000909,0.845
E14001358,E14000812,0.931
E14001358,E14000931,0.069
E14001359,E14000552,0.007
E14001359,E14000813,0.993
E14001360,E14000538,0.246
E14001360,E14000608,0.632
E14001360,E14000631,0.122
E14001361,E14000646,0.076
E14001361,E14000686,0.553
E14001361,E14000987,0.042
E14001361,E14001024,0.329
E14001362,E14000664,0.354
E14001362,E14000814,0.646
E14001363,E14000585,0.004
E14001363,E14000638,0.003
E14001363,E14000815,0.58
E14001363,E14000839,0.33
E14001363,E14000881,0.001
E14001363,E14000936,0.082
E14001364,E14000583,0.301
E14001364,E14000625,0.662
E14001364,E14000940,0.036
E14001365,E14000816,0.827
E14001365,E14000941,0.009
E14001365,E14000952,0.164
E14001366,E14000534,0.361
E14001366,E14000817,0.639
E14001367,E14000819,0.771
E14001367,E14000820,0.016
E14001367,E14000971,0.212
E14001368,E14000819,0.009
E14001368,E14000820,0.991
E14001369,E14000821,0.347
E14001369,E14000822,0.653
E14001370,E14000821,0.93
E14001370,E14000822,0.07
E14001371,E14000823,0.879
E14001371,E14001040,0.12
E14001372,E14000776,0.202
E14001372,E14000825,0.292
E14001372,E14001037,0.505
E14001373,E14000827,1.0
E14001374,E14000828,1.0
E14001375,E14000546,0.105
E14001375,E14000829,0.841
E14001375,E14000908,0.025
E14001375,E14000924,0.028
E14001376,E14000830,1.0
E14001377,E14000831,0.609
E14001377,E14000832,0.017
E14001377,E14000833,0.373
E14001378,E14000832,0.51
E14001378,E14000853,0.489
E14001379,E14000831,0.126
E14001379,E14000832,0.146
E14001379,E14000833,0.527
E14001379,E14000853,0.201
E14001380,E14000834,0.789
E14001380,E14000975,0.211
E14001381,E14000835,1.0
E14001382,E14000569,0.124
E14001382,E14000641,0.169
E14001382,E14000915,0.708
E14001383,E14000740,0.917
E14001383,E14000836,0.083
E14001384,E14000552,0.004
E14001384,E14000813,0.129
E14001384,E14000841,0.867
E14001385,E14000837,0.933
E14001385,E14000961,0.066
E14001386,E14000980,0.144
E14001386,E14000990,0.049
E14001386,E14000991,0.807
E14001387,E14000838,1.0
E14001388,E14000839,0.949
E14001388,E14001031,0.051
E14001389,E14000840,0.453
E14001389,E14000856,0.547
E14001390,E14000842,1.0
E14001391,E14000577,0.002
E14001391,E14000843,0.998
E14001392,E14000545,0.084
E14001392,E14000844,0.916
E14001393,E14000845,1.0
E14001394,E14000774,0.124
E14001394,E14000846,0.876
E14001395,E14000743,0.001
E14001395,E14000847,0.999
E14001396,E14000603,0.05
E14001396,E14000848,0.949
E14001397,E14000554,0.979
E14001397,E14001014,0.021
E14001398,E14000849,1.0
E14001399,E14000850,1.0
E14001400,E14000854,1.0
E14001401,E14000855,0.989
E14001401,E14000878,0.011
E14001402,E14000910,1.0
E14001403,E14000545,0.006
E14001403,E14000844,0.082
E14001403,E14000857,0.912
E14001404,E14000858,1.0
E14001405,E14000859,0.943
E14001405,E14000952,0.057
E14001406,E14000861,0.702
E14001406,E14000862,0.298
E14001407,E14000861,0.014
E14001407,E14000862,0.476
E14001407,E14000942,0.51
E14001408,E14000603,0.133
E14001408,E14000863,0.859
E14001408,E14000864,0.008
E14001409,E14000864,0.99
E14001409,E14000941,0.009
E14001410,E14000865,0.863
E14001410,E14000866,0.01
E14001410,E14000867,0.127
E14001411,E14000607,0.484
E14001411,E14000866,0.452
E14001411,E14000867,0.064
E14001412,E14000866,0.156
E14001412,E14000867,0.844
E14001413,E14000868,1.0
E14001414,E14000558,0.091
E14001414,E14000869,0.909
E14001415,E14000870,1.0
E14001416,E14000871,1.0
E14001417,E14000604,0.058
E14001417,E14000872,0.942
E14001418,E14000645,0.002
E14001418,E14000666,0.502
E14001418,E14000740,0.057
E14001418,E14001009,0.439
E14001419,E14000873,1.0
E14001420,E14000873,0.024
E14001420,E14000874,0.825
E14001420,E14001015,0.151
E14001421,E14000553,0.19
E14001421,E14000615,0.81
E14001422,E14000875,0.677
E14001422,E14000894,0.323
E14001423,E14000876,1.0
E14001424,E14000620,0.07
E14001424,E14000647,0.206
E14001424,E14000877,0.412
E14001424,E14001053,0.312
E14001425,E14000855,0.009
E14001425,E14000878,0.99
E14001426,E14000879,0.976
E14001426,E14000880,0.024
E14001427,E14000880,0.999
E14001428,E14000836,1.0
E14001429,E14000585,0.005
E14001429,E14000881,0.994
E14001430,E14000882,0.998
E14001431,E14000883,0.999
E14001432,E14000884,0.998
E14001433,E14000706,0.203
E14001433,E14000885,0.652
E14001433,E14001057,0.143
E14001434,E14000549,0.076
E14001434,E14000887,0.923
E14001435,E14000591,0.223
E14001435,E14000727,0.319
E14001435,E14001036,0.457
E14001436,E14000667,0.317
E14001436,E14000903,0.014
E14001436,E14001028,0.669
E14001437,E14000888,0.999
E14001438,E14000889,0.658
E14001438,E14000890,0.342
E14001439,E14000830,0.638
E14001439,E14000890,0.116
E14001439,E14001048,0.247
E14001440,E14000820,0.041
E14001440,E14000891,0.958
E14001441,E14000818,0.209
E14001441,E14000892,0.79
E14001442,E14000694,0.069
E14001442,E14000893,0.931
E14001443,E14000894,0.843
E14001443,E14001057,0.157
E14001444,E14000895,0.991
E14001444,E14000993,0.009
E14001445,E14000896,0.999
E14001446,E14000897,1.0
E14001447,E14000898,0.999
E14001448,E14000751,0.012
E14001448,E14000900,0.988
E14001449,E14000857,0.22
E14001449,E14000901,0.78
E14001450,E14000570,0.005
E14001450,E14000902,0.995
E14001451,E14000903,0.996
E14001451,E14000904,0.004
E14001452,E14000903,0.111
E14001452,E14000904,0.761
E14001452,E14001028,0.128
E14001453,E14000767,0.002
E14001453,E14000905,0.998
E14001454,E14000732,0.033
E14001454,E14000906,0.924
E14001454,E14001007,0.042
E14001455,E14000640,0.023
E14001455,E14000686,0.164
E14001455,E14000688,0.267
E14001455,E14000725,0.092
E14001455,E14001024,0.454
E14001456,E14000697,0.342
E14001456,E14000907,0.658
E14001457,E14000908,1.0
E14001458,E14000714,0.351
E14001458,E14000909,0.649
E14001459,E14000571,0.091
E14001459,E14000911,0.909
E14001460,E14000912,0.636
E14001460,E14000954,0.364
E14001461,E14000913,1.0
E14001462,E14000596,0.351
E14001462,E14000914,0.649
E14001463,E14000916,0.905
E14001463,E14000958,0.095
E14001464,E14000689,0.083
E14001464,E14000917,0.917
E14001465,E14000659,0.043
E14001465,E14000918,0.957
E14001466,E14000876,0.001
E14001466,E14000919,0.033
E14001466,E14000921,0.965
E14001467,E14000919,1.0
E14001468,E14000919,0.009
E14001468,E14000922,0.99
E14001468,E14000923,0.001
E14001469,E14000919,0.193
E14001469,E14000922,0.007
E14001469,E14000923,0.8
E14001470,E14000920,0.942
E14001470,E14000923,0.058
E14001471,E14000829,0.162
E14001471,E14000924,0.838
E14001472,E14000925,1.0
E14001473,E14000926,1.0
E14001474,E14000927,0.999
E14001475,E14000730,0.006
E14001475,E14000917,0.003
E14001475,E14000928,0.992
E14001476,E14000929,1.0
E14001477,E14000930,1.0
E14001478,E14000722,0.111
E14001478,E14001016,0.888
E14001479,E14000812,0.401
E14001479,E14000931,0.598
E14001480,E14000933,0.969
E14001480,E14000995,0.03
E14001481,E14000617,0.007
E14001481,E14000934,0.674
E14001481,E14000937,0.319
E14001482,E14000860,0.551
E14001482,E14000991,0.449
E14001483,E14000935,1.0
E14001484,E14000950,0.104
E14001484,E14001001,0.896
E14001485,E14000936,0.96
E14001485,E14001031,0.04
E14001486,E14000938,0.999
E14001487,E14000939,1.0
E14001488,E14000728,0.157
E14001488,E14000940,0.843
E14001489,E14000816,0.085
E14001489,E14000941,0.915
E14001490,E14000660,0.078
E14001490,E14000942,0.858
E14001490,E14001025,0.064
E14001491,E14000637,0.132
E14001491,E14000894,0.066
E14001491,E14000943,0.801
E14001492,E14000765,0.307
E14001492,E14000944,0.691
E14001493,E14000799,0.853
E14001493,E14000926,0.147
E14001494,E14000946,1.0
E14001495,E14000950,0.773
E14001495,E14001000,0.226
E14001496,E14000739,0.086
E14001496,E14000951,0.677
E14001496,E14000960,0.077
E14001496,E14001021,0.16
E14001497,E14000816,0.019
E14001497,E14000859,0.009
E14001497,E14000952,0.972
E14001498,E14000635,0.017
E14001498,E14000954,0.983
E14001499,E14000955,0.999
E14001500,E14000956,0.999
E14001501,E14000888,0.323
E14001501,E14000899,0.676
E14001502,E14000899,0.153
E14001502,E14000957,0.846
E14001503,E14000687,0.014
E14001503,E14000691,0.034
E14001503,E14000692,0.746
E14001503,E14000752,0.165
E14001503,E14001002,0.041
E14001504,E14000943,0.687
E14001504,E14000958,0.312
E14001505,E14000959,1.0
E14001506,E14000548,0.69
E14001506,E14000666,0.218
E14001506,E14000756,0.092
E14001507,E14000960,1.0
E14001508,E14000938,0.036
E14001508,E14000961,0.964
E14001509,E14000962,1.0
E14001510,E14000963,1.0
E14001511,E14000616,0.083
E14001511,E14000964,0.917
E14001512,E14000757,0.298
E14001512,E14000934,0.564
E14001512,E14000937,0.138
E14001513,E14000965,0.182
E14001513,E14000975,0.818
E14001514,E14000966,0.953
E14001514,E14000975,0.047
E14001515,E14000967,1.0
E14001516,E14000968,1.0
E14001517,E14000661,0.255
E14001517,E14000969,0.744
E14001518,E14000970,0.948
E14001518,E14000971,0.052
E14001519,E14000915,0.433
E14001519,E14000970,0.195
E14001519,E14000971,0.372
E14001520,E14000972,0.757
E14001520,E14000973,0.049
E14001520,E14000974,0.194
E14001521,E14000966,0.116
E14001521,E14000972,0.041
E14001521,E14000973,0.842
E14001522,E14000972,0.003
E14001522,E14000974,0.162
E14001522,E14000975,0.835
E14001523,E14000945,0.237
E14001523,E14000965,0.519
E14001523,E14000975,0.244
E14001524,E14000672,0.329
E14001524,E14000976,0.671
E14001525,E14000555,0.286
E14001525,E14000882,0.054
E14001525,E14001032,0.66
E14001526,E14000977,1.0
E14001527,E14000655,0.573
E14001527,E14000673,0.002
E14001527,E14000978,0.425
E14001528,E14000979,1.0
E14001529,E14000980,0.885
E14001529,E14000991,0.115
E14001530,E14000981,1.0
E14001531,E14000754,0.001
E14001531,E14000982,0.996
E14001532,E14000983,0.729
E14001532,E14001047,0.271
E14001533,E14000557,0.186
E14001533,E14001023,0.814
E14001534,E14000621,0.001
E14001534,E14000694,0.001
