id,last_update,next_update
LMS,2024-01-16,2024-02-13 00:00:00
MM23,2023-12-20,2024-01-17 00:00:00
NEET,2023-08-24,2023-11-23 00:00:00
UNEM,2024-01-16,2024-02-13 00:00:00
X10,2024-01-16,To be confirmed
