local_authority_code,local_authority_name,total,total,total,total,total,total,total,total,asian,asian,asian,asian,asian,asian,asian,asian,black_british,black_british,black_british,black_british,black_british,black_british,black_british,black_british,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,white,white,white,white,white,white,white,white,other,other,other,other,other,other,other,other
,,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other
E07000171,Bassetlaw,97369,21013,10653,14392,6514,16961,24848,2988,1150,204,93,126,32,143,503,49,608,88,54,71,16,76,280,23,831,137,84,150,54,160,224,22,94329,20457,10384,14011,6394,16546,23675,2862,451,127,38,34,18,36,166,32
E07000172,Broxtowe,92534,16077,8760,11484,5533,16772,31639,2269,5029,627,297,401,81,766,2677,180,1471,121,96,119,44,306,761,24,1556,129,110,238,52,402,608,17,83367,15050,8183,10652,5318,15174,26976,2014,1111,150,74,74,38,124,617,34
E07000173,Gedling,96459,17002,9336,13329,5966,17660,30727,2439,3519,513,256,333,58,451,1800,108,2134,214,159,242,84,330,1043,62,2108,221,173,373,89,480,736,36,87932,15881,8672,12306,5708,16304,26858,2203,766,173,76,75,27,95,290,30
E07000174,Mansfield,90163,21907,10540,13217,5899,15851,19902,2847,1661,327,147,158,39,164,769,57,884,110,71,104,39,113,416,31,805,122,80,138,35,166,246,18,86180,21143,10166,12769,5758,15348,18294,2702,633,205,76,48,28,60,177,39
E07000175,Newark and Sherwood,101973,19449,10580,14913,6360,18402,29581,2688,1172,220,93,111,35,147,526,40,652,77,58,89,29,89,299,11,1047,119,108,197,31,226,345,21,98673,18929,10288,14477,6246,17889,28254,2590,429,104,33,39,19,51,157,26
E07000176,Rushcliffe,97722,11728,6922,11725,4377,16647,44226,2097,5240,547,259,450,66,633,3150,135,905,92,60,82,18,147,486,20,1645,119,111,253,44,338,750,30,89086,10868,6452,10881,4230,15434,39338,1883,846,102,40,59,19,95,502,29
E06000019,"Herefordshire, County of",157134,28315,14982,22184,9258,26573,51421,4401,1771,268,127,156,46,170,945,59,452,33,33,47,18,59,254,8,1103,137,87,187,33,195,441,23,153029,27644,14672,21739,9124,26084,49506,4260,779,233,63,55,37,65,275,51
E06000020,Telford and Wrekin,148672,29665,16734,23217,8212,27765,38804,4275,7540,1551,823,953,142,953,2849,269,3635,700,412,441,198,436,1304,144,2414,331,264,442,97,560,679,41,133849,26736,15131,21249,7730,25687,33564,3752,1234,347,104,132,45,129,408,69
E06000021,Stoke-on-Trent,205907,53356,22572,30444,14147,34680,44949,5759,17461,4682,1936,2205,353,2295,5260,730,4831,847,518,547,178,701,1873,167,2940,489,295,550,130,602,789,85,177634,46308,19467,26835,13356,30836,36181,4651,3041,1030,356,307,130,246,846,126
E06000051,Shropshire,272249,45573,26157,40900,16563,47418,88502,7136,3547,532,296,367,71,371,1770,140,923,96,84,112,23,154,436,18,2229,237,189,463,75,417,815,33,264382,44385,25472,39826,16329,46379,85108,6883,1168,323,116,132,65,97,373,62
E07000192,Cannock Chase,82476,18133,9826,13078,4990,15520,18748,2181,990,219,114,116,17,105,385,34,373,28,27,45,20,60,188,5,741,96,80,152,34,152,213,14,80122,17720,9580,12747,4912,15168,17877,2118,250,70,25,18,7,35,85,10
E07000193,East Staffordshire,100509,20231,10759,14594,6021,17080,28826,2998,7902,2081,945,986,161,1047,2351,331,1100,184,130,160,51,163,374,38,1348,200,175,254,59,263,370,27,89217,17434,9411,13113,5709,15526,25464,2560,942,332,98,81,41,81,267,42
E07000194,Lichfield,88598,15110,8931,12486,4745,15242,29789,2295,2044,268,124,197,45,239,1101,70,524,39,45,75,13,92,237,23,1045,101,103,180,29,205,409,18,84622,14642,8632,11995,4649,14658,27874,2172,363,60,27,39,9,48,168,12
E07000195,Newcastle-under-Lyme,103181,20689,9990,14051,6883,20202,28936,2430,3710,358,158,322,77,908,1790,97,1063,75,53,74,12,344,482,23,1117,106,84,135,40,359,376,17,96586,20030,9633,13470,6737,18452,26004,2260,705,120,62,50,17,139,284,33
E07000196,South Staffordshire,93374,18009,9515,13509,5927,16425,27449,2540,2585,386,195,290,66,366,1211,71,897,82,64,154,60,176,343,18,1239,161,119,232,56,249,395,27,88241,17303,9109,12801,5733,15580,25306,2409,412,77,28,32,12,54,194,15
E07000197,Stafford,113613,17909,10713,15947,6417,19753,39860,3014,3216,343,223,268,141,363,1769,109,1133,147,88,111,35,151,574,27,1364,145,128,257,53,260,489,32,107210,17148,10225,15263,6164,18908,36684,2818,690,126,49,48,24,71,344,28
E07000198,Staffordshire Moorlands,80864,16224,7843,11440,5734,14492,22944,2187,531,102,43,48,16,55,251,16,168,26,16,18,10,14,78,6,491,59,34,97,13,86,189,13,79532,16011,7741,11258,5689,14320,22369,2144,142,26,9,19,6,17,57,8
E07000199,Tamworth,63789,13900,8283,10716,3495,11726,13955,1714,897,162,82,106,16,110,397,24,419,47,38,63,15,69,183,4,782,112,90,162,26,180,206,6,61439,13497,8050,10366,3431,11336,13093,1666,252,82,23,19,7,31,76,14
E07000218,North Warwickshire,53891,11954,6217,8265,3280,9478,13385,1312,689,112,55,81,20,83,326,12,307,20,31,24,17,56,156,3,575,73,61,95,22,117,198,9,52154,11712,6057,8054,3215,9199,12635,1282,166,37,13,11,6,23,70,6
E07000219,Nuneaton and Bedworth,108588,24569,12913,16263,6743,18441,26578,3081,8523,1890,906,942,179,1078,3155,373,1734,177,117,177,47,234,952,30,1227,165,120,236,45,287,361,13,95862,21979,11630,14785,6433,16707,21736,2592,1242,358,140,123,39,135,374,73
E07000220,Rugby,92188,14451,8976,12919,5873,15155,32174,2640,6644,795,508,619,190,701,3626,205,2219,309,218,281,92,301,954,64,1580,200,170,314,56,284,533,23,80705,12927,7968,11626,5493,13771,26612,2308,1040,220,112,79,42,98,449,40
E07000221,Stratford-on-Avon,112645,16230,9847,15155,5667,18533,44455,2758,2078,257,107,155,34,205,1254,66,412,43,37,51,16,54,204,7,1211,114,76,210,41,233,522,15,108368,15702,9598,14693,5564,17984,42189,2638,576,114,29,46,12,57,286,32
E07000222,Warwick,123257,15547,9025,13233,5159,21834,55685,2774,11788,1479,628,772,167,2115,6272,355,1388,115,73,112,47,436,580,25,2508,171,193,315,52,644,1091,42,105581,13487,8013,11890,4841,18336,46745,2269,1992,295,118,144,52,303,997,83
E07000234,Bromsgrove,81098,12726,7356,11426,4338,13475,29696,2081,2431,272,133,276,31,270,1390,59,630,54,48,75,15,92,338,8,1248,134,96,234,42,237,492,13,76377,12221,7053,10815,4243,12816,27242,1987,412,45,26,26,7,60,234,14
E07000235,Malvern Hills,67121,9777,5781,9381,3691,10779,26021,1691,840,174,49,93,22,100,373,29,203,30,22,28,6,31,83,3,592,69,44,107,26,112,222,12,65263,9470,5650,9137,3635,10509,25223,1639,223,34,16,16,2,27,120,8
E07000236,Redditch,70258,14605,8173,11026,4121,12108,18162,2063,3628,849,425,457,61,419,1270,147,891,171,97,135,30,123,305,30,1239,171,156,261,54,256,325,16,64052,13279,7464,10142,3955,11271,16100,1841,448,135,31,31,21,39,162,29
E07000237,Worcester,85607,14871,7889,11506,4557,15705,28872,2207,4236,923,385,451,92,557,1637,191,936,110,56,77,43,152,469,29,1284,133,113,212,43,286,462,35,78351,13518,7262,10698,4347,14635,26004,1887,800,187,73,68,32,75,300,65
E07000238,Wychavon,110724,19535,11323,15311,6466,18393,36593,3103,1253,205,114,108,26,135,615,50,386,53,31,51,17,41,178,15,896,103,78,151,39,155,353,17,107688,19013,11063,14970,6357,18026,35264,2995,501,161,37,31,27,36,183,26
E07000239,Wyre Forest,84563,18419,9053,12683,5610,14403,22056,2339,1435,325,151,202,36,154,515,52,326,41,17,50,12,55,144,7,847,124,72,156,37,176,266,16,81662,17849,8785,12236,5513,13995,21036,2248,293,80,28,39,12,23,95,16
E08000025,Birmingham,889623,212198,90078,111212,32426,152046,265806,25857,257770,68962,26874,31388,4646,39178,77848,8874,92703,17901,9885,11752,3174,16488,30741,2762,30408,4586,3060,5080,1050,7072,8991,569,472229,110616,46324,59527,22545,84680,136383,12154,36513,10133,3935,3465,1011,4628,11843,1498
E08000026,Coventry,276875,53671,27543,34920,14285,52525,84691,9240,49810,8966,4394,5117,1003,7918,20349,2063,21895,3275,1794,2420,638,5030,8105,633,6505,824,573,988,233,1838,1908,141,189308,38142,19865,25590,12105,36570,51164,5872,9357,2464,917,805,306,1169,3165,531
E08000027,Dudley,262489,60568,28474,39482,15703,45064,65589,7609,19620,4874,2138,2309,467,2795,6309,728,6189,944,611,818,227,994,2431,164,4547,683,490,882,185,956,1277,74,228927,53090,24860,35121,14723,39934,54679,6520,3206,977,375,352,101,385,893,123
E08000028,Sandwell,266023,76840,30586,36174,12756,39465,60314,9888,64946,18809,7267,7810,1508,8721,17607,3224,21598,3729,2086,2862,805,3421,8044,651,7211,1155,809,1346,305,1485,1947,164,162269,49874,19283,23286,9842,24758,30059,5167,9999,3273,1141,870,296,1080,2657,682
E08000029,Solihull,174498,30643,16622,24691,8071,28263,61847,4361,17651,1955,1047,1606,234,2144,10278,387,3154,378,248,414,120,488,1436,70,3756,452,373,707,124,743,1291,66,147532,27557,14793,21747,7543,24606,47529,3757,2405,301,161,217,50,282,1313,81
E08000030,Walsall,223100,58781,25619,31738,11823,35038,52903,7198,38907,10147,4113,4906,745,5294,11985,1717,9211,1229,805,1231,328,1562,3816,240,4430,721,486,890,197,901,1165,70,166253,45470,19791,24304,10425,26823,34474,4966,4299,1214,424,407,128,458,1463,205
E08000031,Wolverhampton,208443,52804,22949,28741,10240,31391,54712,7606,43385,10766,4514,5116,1035,5481,14233,2240,18314,2701,1763,2366,654,2976,7312,542,7158,1113,820,1404,320,1478,1868,155,132659,36007,15121,19199,7999,20771,29313,4249,6927,2217,731,656,232,685,1986,420
E06000031,Peterborough,167571,37471,20666,24190,9284,25728,43956,6276,21872,5579,2553,2603,466,2583,7233,855,6234,954,573,723,240,779,2758,207,3909,699,488,734,165,662,1061,100,131441,28719,16638,19747,8236,21350,31844,4907,4115,1520,414,383,177,354,1060,207
E06000032,Luton,172700,39478,19653,21943,8348,24832,51546,6900,58596,13968,6287,7035,1096,7750,19945,2515,17684,2229,1623,2207,666,2679,7790,490,4731,665,522,918,180,900,1449,97,86020,21138,10613,11225,6196,12880,20471,3497,5669,1478,608,558,210,623,1891,301
E06000033,Southend-on-Sea,146411,28822,17594,23151,7434,25290,39832,4288,7394,1283,590,737,147,843,3514,280,3937,380,285,472,115,643,1966,76,2895,314,276,541,91,627,993,53,130553,26493,16313,21232,7010,22980,32706,3819,1632,352,130,169,71,197,653,60
E06000034,Thurrock,136367,29445,16640,21249,6760,22151,35724,4398,8909,1404,768,911,157,1122,4224,323,14303,929,615,1472,265,1736,9069,217,2490,289,281,456,87,544,776,57,108594,26294,14742,18214,6183,18486,20978,3697,2071,529,234,196,68,263,677,104
E06000055,Bedford,148114,24810,15365,19976,8263,23976,51411,4313,17429,3776,1961,2111,370,2170,6469,572,7529,946,703,912,261,1117,3391,199,4187,444,479,800,180,841,1375,68,116371,18951,11973,15914,7372,19575,39242,3344,2598,693,249,239,80,273,934,130
E06000056,Central Bedfordshire,236756,35598,24649,34891,14069,43107,78653,5789,8248,973,568,665,161,915,4717,249,5285,418,339,577,179,790,2885,97,4326,351,394,794,142,910,1667,68,216944,33517,23189,32690,13533,40271,68451,5293,1953,339,159,165,54,221,933,82
E07000008,Cambridge,124770,11955,5990,8594,3236,22690,69666,2639,18371,1668,650,939,178,3357,11091,488,3054,219,163,288,71,693,1524,96,4667,342,169,428,72,1207,2372,77,94852,9313,4769,6735,2839,16991,52385,1820,3826,413,239,204,76,442,2294,158
E07000009,East Cambridgeshire,71426,11824,6992,9634,4384,11735,25009,1848,1386,183,77,106,28,104,844,44,570,56,31,67,15,60,331,10,963,122,65,157,30,158,418,13,68033,11353,6789,9280,4290,11372,23186,1763,474,110,30,24,21,41,230,18
E07000010,Fenland,84825,21885,10947,13346,5730,13841,16152,2924,1049,226,96,107,38,118,420,44,655,82,50,95,23,89,298,18,855,140,98,169,34,158,244,12,81692,21232,10636,12918,5609,13437,15035,2825,574,205,67,57,26,39,155,25
E07000011,Huntingdonshire,148263,23194,15790,21608,8222,26020,49594,3835,4498,714,298,386,103,473,2354,170,2063,229,149,212,90,231,1104,48,2179,212,168,371,69,421,897,41,138511,21815,15112,20559,7920,24815,44767,3523,1012,224,63,80,40,80,472,53
E07000012,South Cambridgeshire,130363,15410,10096,15212,6049,18452,62374,2770,7100,432,229,432,74,554,5221,158,1554,91,78,143,23,177,1018,24,2250,135,126,339,36,356,1230,28,118043,14640,9600,14217,5894,17237,53957,2498,1416,112,63,81,22,128,948,62
E07000066,Basildon,148667,30827,19441,24490,7967,25316,36541,4085,6011,659,330,474,88,538,3751,171,6275,492,362,659,158,856,3639,109,2431,276,308,499,97,494,712,45,132653,29117,18324,22738,7574,23307,27901,3692,1297,283,117,120,50,121,538,68
E07000067,Braintree,126571,23241,15570,21107,7467,23081,32674,3431,2070,323,179,204,49,252,982,81,1455,105,93,182,41,213,792,29,1588,164,165,284,54,332,548,41,120782,22497,15080,20377,7298,22204,30095,3231,676,152,53,60,25,80,257,49
E07000068,Brentwood,62871,9481,6071,9670,2966,10792,22248,1643,3093,258,137,247,36,275,2057,83,1275,78,53,130,34,150,809,21,1230,103,78,226,37,257,510,19,56564,8953,5768,9005,2849,10025,18462,1502,709,89,35,62,10,85,410,18
E07000069,Castle Point,74412,17754,10153,12633,5036,12659,13744,2433,1258,239,117,133,24,120,588,37,876,81,50,89,13,95,531,17,813,119,94,171,35,173,207,14,71133,17222,9858,12207,4959,12230,12309,2348,332,93,34,33,5,41,109,17
E07000070,Chelmsford,147736,22401,15314,22515,7621,25917,50086,3882,7245,618,333,504,101,708,4769,212,3543,268,182,353,70,506,2083,81,2519,209,209,460,87,524,995,35,133114,21111,14511,21104,7324,24027,41538,3499,1315,195,79,94,39,152,701,55
E07000071,Colchester,156347,24043,16124,23196,8139,30421,50404,4020,7993,863,486,668,143,1288,4278,267,5072,292,244,542,132,1477,2305,80,3042,243,232,520,88,816,1085,58,137972,22243,15002,21272,7715,26472,41756,3512,2268,402,160,194,61,368,980,103
E07000072,Epping Forest,109927,20734,11390,16111,5490,17575,35632,2995,7739,769,429,680,111,889,4688,173,3082,243,215,370,98,472,1640,44,2627,263,230,497,90,521,988,38,94083,19011,10334,14334,5122,15379,27246,2657,2396,448,182,230,69,314,1070,83
E07000073,Harlow,73104,15365,9804,11619,4118,12132,17864,2202,4166,599,323,346,86,391,2272,149,4081,486,319,477,141,540,2035,83,1576,217,195,301,66,304,459,34,61996,13739,8853,10393,3778,10745,12603,1885,1285,324,114,102,47,152,495,51
E07000074,Maldon,55431,10674,6742,8922,3602,9798,14080,1613,622,124,49,80,11,64,273,21,211,26,12,36,5,20,109,3,509,65,52,86,29,104,162,11,53910,10409,6610,8701,3548,9588,13483,1571,179,50,19,19,9,22,53,7
E07000075,Rochford,70708,13555,9084,12359,4440,13097,16093,2080,975,147,75,77,22,104,516,34,483,28,31,42,12,62,303,5,754,72,85,151,34,153,255,4,68257,13273,8871,12072,4361,12744,14908,2028,239,35,22,17,11,34,111,9
E07000076,Tendring,124890,32784,16157,19076,8534,19444,24811,4084,1459,339,134,161,40,158,569,58,748,106,78,89,22,110,333,10,1261,184,166,232,60,269,328,22,120984,32047,15735,18536,8397,18840,23456,3973,438,108,44,58,15,67,125,21
E07000077,Uttlesford,73521,10118,6980,11425,3739,12687,26926,1646,1414,162,96,118,29,173,786,50,559,39,30,75,20,101,284,10,1019,80,71,199,32,187,438,12,70038,9765,6746,10994,3641,12154,25185,1553,491,72,37,39,17,72,233,21
E07000095,Broxbourne,79438,16560,9347,11727,4508,13270,21689,2337,2888,317,192,248,58,350,1646,77,4848,367,335,531,142,752,2642,79,1949,224,180,352,73,414,670,36,66214,14779,8333,10180,4125,11283,15484,2030,3539,873,307,416,110,471,1247,115
E07000096,Dacorum,123778,18166,12498,17595,5928,19844,46745,3002,6942,967,569,706,111,786,3592,211,3345,369,243,443,115,471,1642,62,2742,245,226,519,107,491,1100,54,109302,16326,11366,15800,5556,17960,39669,2625,1447,259,94,127,39,136,742,50
E07000098,Hertsmere,86194,13778,7923,11395,3825,12743,34134,2396,8839,808,452,726,117,927,5616,193,3971,337,276,416,93,467,2303,79,2192,191,177,346,71,409,952,46,67957,12032,6816,9561,3457,10514,23589,1988,3235,410,202,346,87,426,1674,90
E07000099,North Hertfordshire,107741,14651,9986,14358,4833,16645,44742,2526,5641,859,440,531,74,565,3017,155,2610,330,244,323,88,371,1195,59,2518,242,238,463,69,448,1019,39,95774,13019,8966,12950,4574,15149,38881,2235,1198,201,98,91,28,112,630,38
E07000102,Three Rivers,75005,10021,6540,9837,3334,11477,32024,1772,10970,735,444,849,113,1071,7576,182,1766,116,123,184,43,238,1028,34,1730,159,125,285,48,338,750,25,59290,8840,5777,8420,3092,9686,21988,1487,1249,171,71,99,38,144,682,44
E07000103,Watford,80969,12842,7468,9965,3296,11677,33256,2465,18516,2294,1206,1776,261,2156,10313,510,4998,613,427,542,149,678,2483,106,2551,227,228,415,77,463,1097,44,52066,9187,5378,6964,2707,8050,18093,1687,2838,521,229,268,102,330,1270,118
E07000143,Breckland,117856,26228,14196,18382,8067,19911,27210,3862,1099,226,106,128,30,122,439,48,704,136,64,85,36,103,253,27,1192,229,129,203,52,221,323,35,114204,25426,13826,17911,7906,19392,26019,3724,657,211,71,55,43,73,176,28
E07000144,Broadland,110504,19416,12251,17364,8114,20032,30320,3007,1510,268,100,144,45,163,741,49,521,37,31,60,18,69,294,12,989,82,97,179,45,203,371,12,107078,18964,11990,16955,7988,19540,28726,2915,406,65,33,26,18,57,188,19
E07000145,Great Yarmouth,82725,21928,10744,12935,5972,13213,15091,2842,1523,303,100,90,40,107,834,49,813,197,131,75,53,83,234,40,870,169,118,149,51,150,214,19,78922,21028,10308,12578,5799,12827,13681,2701,597,231,87,43,29,46,128,33
E07000146,King's Lynn and West Norfolk,128887,30136,15596,19502,8225,21171,30034,4223,2276,315,121,170,42,203,1344,81,657,94,53,59,19,63,348,21,1176,201,118,184,47,192,399,35,124003,29295,15243,19041,8082,20649,27669,4024,775,231,61,48,35,64,274,62
E07000147,North Norfolk,89139,18330,10334,13576,6300,14425,23389,2785,484,122,42,56,17,48,172,27,173,25,19,28,13,25,57,6,601,71,70,121,25,120,184,10,87682,18063,10187,13353,6239,14210,22898,2732,199,49,16,18,6,22,78,10
E07000148,Norwich,120761,20617,11147,14454,5181,25169,41202,2991,6535,721,277,443,114,1389,3330,261,2832,307,226,251,72,856,1066,54,2895,244,214,334,68,866,1106,63,106626,18940,10298,13305,4866,21741,34956,2520,1873,405,132,121,61,317,744,93
E07000149,South Norfolk,117222,19995,11816,17561,7046,20295,37556,2953,1979,229,96,163,33,166,1244,48,799,60,59,101,23,72,469,15,1126,98,66,205,38,192,512,15,112835,19540,11571,17047,6939,19822,35055,2861,483,68,24,45,13,43,276,14
E07000200,Babergh,77375,13490,8644,12142,4781,13409,22817,2092,722,128,56,68,20,72,343,35,356,36,36,47,10,53,165,9,740,78,77,142,38,152,244,9,75287,13184,8453,11863,4700,13109,21954,2024,270,64,22,22,13,23,111,15
E07000202,Ipswich,111833,24251,13437,16101,7015,18242,29295,3492,5643,1060,469,617,135,607,2581,174,3858,674,463,480,196,555,1361,129,3509,528,459,622,192,698,929,81,96707,21137,11771,14263,6396,16250,23898,2992,2116,852,275,119,96,132,526,116
E07000203,Mid Suffolk,86305,15183,9149,12785,5345,15668,25916,2259,702,109,65,62,31,77,331,27,451,72,44,47,17,68,194,9,823,89,75,145,31,174,290,19,83999,14817,8936,12505,5262,15310,24978,2191,330,96,29,26,4,39,123,13
E07000240,St Albans,116094,11783,7777,13318,4003,15218,61536,2459,9219,1109,591,858,144,963,5316,238,2451,239,168,289,66,313,1330,46,3031,237,159,485,63,479,1563,45,99328,9916,6725,11508,3692,13216,52224,2047,2065,282,134,178,38,247,1103,83
E07000241,Welwyn Hatfield,97481,13975,8998,12533,4348,18575,36378,2674,8693,569,335,626,128,1479,5307,249,5801,370,276,514,106,1415,3023,97,2653,244,174,413,65,716,1001,40,78094,12498,8065,10801,3988,14556,25964,2222,2240,294,148,179,61,409,1083,66
E07000242,East Hertfordshire,121154,16756,11407,17400,5691,20393,46724,2783,3199,342,156,308,48,303,1970,72,1455,84,94,180,26,179,866,26,2181,165,152,367,55,422,986,34,113212,15971,10930,16443,5532,19362,42374,2600,1107,194,75,102,30,127,528,51
E07000243,Stevenage,71235,12113,9214,10908,3834,12205,21097,1864,5189,564,358,429,101,479,3088,170,3222,279,206,347,94,412,1831,53,1677,173,192,302,73,323,585,29,60235,10940,8357,9751,3544,10901,15160,1582,912,157,101,79,22,90,433,30
E07000244,East Suffolk,206717,40104,23295,31041,14259,34993,56968,6057,2782,478,212,299,82,269,1332,110,1094,134,76,162,67,154,474,27,2015,263,199,381,88,404,644,36,200052,39075,22752,30123,13990,34078,54183,5851,774,154,56,76,32,88,335,33
E07000245,West Suffolk,148129,31016,16000,20814,9350,23851,42237,4861,3774,697,266,309,109,277,1930,186,2412,717,171,177,89,231,909,118,2907,702,236,386,151,389,907,136,137163,28148,15205,19841,8939,22850,37880,4300,1873,752,122,101,62,104,611,121
E09000001,City of London,8005,528,223,389,79,713,5938,135,1345,124,31,62,8,133,955,32,209,31,14,17,11,30,104,2,362,17,11,22,6,34,259,13,5647,307,143,260,46,488,4333,70,442,49,24,28,8,28,287,18
E09000002,Barking and Dagenham,161744,36796,16751,20365,6262,21819,53790,5961,39287,6653,3594,4393,740,5374,16952,1581,32625,3717,2289,3921,835,4789,16288,786,4259,662,418,735,189,802,1344,109,79842,24280,9842,10735,4281,10214,17263,3227,5731,1484,608,581,217,640,1943,258
E09000003,Barnet,309360,47763,21305,30688,9630,38541,151642,9791,61361,9687,3945,4795,1122,6109,33670,2033,23589,2715,1646,2587,543,3291,12260,547,11985,1306,789,1606,306,1944,5765,269,182892,28650,12840,19212,6925,23798,85640,5827,29533,5405,2085,2488,734,3399,14307,1115
E09000004,Bexley,195833,35582,21414,28537,10227,32511,61837,5725,18626,2949,1425,1698,351,2071,9585,547,21392,1492,1065,2106,417,2828,13141,343,4329,491,400,758,148,921,1532,79,146727,29630,18090,23517,9162,26093,35680,4555,4759,1020,434,458,149,598,1899,201
E09000005,Brent,275143,59770,24296,26148,9529,34338,109998,11064,91616,21800,9003,8289,1888,9778,36848,4010,46555,8868,4731,6031,1656,7535,16338,1396,11124,1516,958,1382,464,1856,4651,297,100175,20390,7399,8381,4716,12402,42663,4224,25673,7196,2205,2065,805,2767,9498,1137
E09000006,Bromley,265086,36581,23030,35255,10559,39420,113510,6731,21136,1717,922,1480,256,1770,14479,512,18975,1536,1304,2144,491,2686,10425,389,9404,835,675,1537,320,1653,4219,165,209395,31525,19673,29568,9309,32576,81327,5417,6176,968,456,526,183,735,3060,248
E09000007,Camden,177903,20947,8993,12776,3402,25154,101932,4699,31634,4802,2081,2418,433,4984,15881,1035,14883,2303,1302,1826,371,2576,6106,399,9451,727,461,937,183,1880,5058,205,110034,11202,4420,6813,2153,14365,68515,2566,11901,1913,729,782,262,1349,6372,494
E09000008,Croydon,310400,49877,28370,38240,11786,45536,127344,9247,53591,7662,4180,5520,928,6406,27062,1833,67647,8409,6002,8431,2199,10910,30013,1683,16728,1886,1536,2897,575,3128,6369,337,160184,29190,15569,20258,7627,23551,59108,4881,12250,2730,1083,1134,457,1541,4792,513
E09000009,Ealing,295372,52925,23821,27461,10012,37920,130981,12252,89435,19831,8876,8434,1961,10141,35360,4832,30442,5287,3037,3780,991,5169,11313,865,11048,1104,863,1515,349,1959,5001,257,134486,19685,8480,11274,5911,17379,66966,4791,29961,7018,2565,2458,800,3272,12341,1507
E09000010,Enfield,257182,57813,24151,29005,10055,34476,93371,8311,30179,5035,2444,3072,517,3899,14261,951,43911,6665,3970,5685,1491,6890,18025,1185,10535,1453,873,1630,428,1868,4072,211,141422,34330,13869,15550,6684,18133,48032,4824,31135,10330,2995,3068,935,3686,8981,1140
E09000011,Greenwich,229751,38319,18350,23747,7939,30154,104926,6316,30976,5574,2346,2371,609,3163,15826,1087,43932,4481,2978,5122,1294,6480,22631,946,9565,929,801,1353,308,1741,4246,187,135390,25010,11260,14032,5449,17653,58325,3661,9888,2325,965,869,279,1117,3898,435
E09000012,Hackney,209470,35042,12782,17449,4940,24171,109725,5361,21840,4674,1789,2005,337,2894,9489,652,42595,6917,3889,5534,1542,6891,16605,1217,11892,1194,696,1235,323,1726,6441,277,115747,16312,4986,7157,2271,10884,71604,2533,17396,5945,1422,1518,467,1776,5586,682
E09000013,Hammersmith and Fulham,154628,18332,7892,11387,3533,20165,89046,4273,16929,2167,806,943,250,2043,10168,552,17769,2951,1756,2241,600,2997,6725,499,8013,820,545,892,197,1365,4025,169,100938,10323,4084,6505,2239,12536,62674,2577,10979,2071,701,806,247,1224,5454,476
E09000014,Haringey,216008,39921,14734,18397,6781,25260,104270,6645,19436,3808,1555,1559,382,2271,9176,685,37135,6441,3679,4665,1409,5934,13831,1176,12040,1652,879,1373,432,1673,5738,293,126477,20703,6719,9212,3794,13301,69061,3687,20920,7317,1902,1588,764,2081,6464,804
E09000015,Harrow,209623,36454,17151,21857,6656,26424,94317,6764,93801,14010,6841,8687,1409,10692,49748,2414,15137,2067,1256,1777,428,2443,6777,389,5580,657,414,898,175,1001,2336,99,80799,16562,7394,9134,4286,10388,29699,3336,14306,3158,1246,1361,358,1900,5757,526
E09000016,Havering,209724,41947,23453,31228,10777,34122,61921,6276,21052,2515,1429,1926,329,2594,11685,574,15814,1208,910,1791,397,2218,9008,282,4819,501,479,885,170,966,1747,71,163973,36912,20269,26228,9745,27893,37735,5191,4066,811,366,398,136,451,1746,158
E09000017,Hillingdon,241873,43906,23872,28514,10298,35833,90664,8786,77881,12624,6924,7323,1519,9338,36936,3217,17674,2560,1589,2217,504,3180,7210,414,7303,820,604,1170,271,1631,2644,163,124379,24608,13405,16560,7603,19857,38111,4235,14636,3294,1350,1244,401,1827,5763,757
E09000018,Hounslow,228684,42630,21675,23390,8090,28046,95076,9777,83597,14356,8225,7805,1755,8944,38123,4389,15039,2504,1434,1895,437,2351,5901,517,7558,918,656,1144,279,1372,3012,177,105973,20709,9818,11170,5153,13577,41689,3857,16517,4143,1542,1376,466,1802,6351,837
E09000019,Islington,183624,25257,10273,13146,4212,22337,103973,4426,18669,2577,999,1228,219,2368,10727,551,22033,3464,2251,2722,754,3610,8627,605,10746,1038,609,1095,267,1825,5723,189,119534,15248,5400,7172,2702,13037,73384,2591,12642,2930,1014,929,270,1497,5512,490
E09000020,Kensington and Chelsea,123090,13972,5446,8802,2379,15439,73226,3826,15084,1938,668,793,225,2043,8879,538,9308,1449,815,1007,298,1491,4000,248,6572,590,362,710,170,1094,3483,163,79993,7724,2916,5392,1451,9366,50834,2310,12133,2271,685,900,235,1445,6030,567
E09000021,Kingston upon Thames,135470,16129,8747,13319,4324,19764,69584,3603,23984,2663,1279,1839,344,2839,14262,758,3870,343,237,377,96,744,1969,104,4800,368,251,659,97,911,2427,87,95202,11706,6542,9864,3604,14357,46777,2352,7614,1049,438,580,183,913,4149,302
