date,date_name,variable_name,value,age,category,measure_type,group
1992-04-01,Mar-May 1992,MGSC,2795738.3616648186,All aged 16 & over,All,level,People
1992-05-01,Apr-Jun 1992,MGSC,2777367.6537507586,All aged 16 & over,All,level,People
1992-06-01,May-Jul 1992,MGSC,2802624.9090812695,All aged 16 & over,All,level,People
1992-07-01,Jun-Aug 1992,MGSC,2816125.839176409,All aged 16 & over,All,level,People
1992-08-01,Jul-Sep 1992,MGSC,2814524.837473295,All aged 16 & over,All,level,People
1992-09-01,Aug-Oct 1992,MGSC,2849869.0811370304,All aged 16 & over,All,level,People
1992-10-01,Sep-Nov 1992,MGSC,2898811.3351645404,All aged 16 & over,All,level,People
1992-11-01,Oct-Dec 1992,MGSC,2931640.310575964,All aged 16 & over,All,level,People
1992-12-01,Nov-Jan 1993,MGSC,2982756.2984845517,All aged 16 & over,All,level,People
1993-01-01,Dec-Feb 1993,MGSC,3023283.177939596,All aged 16 & over,All,level,People
1993-02-01,Jan-Mar 1993,MGSC,3003526.8293518117,All aged 16 & over,All,level,People
1993-03-01,Feb-Apr 1993,MGSC,2988474.594998896,All aged 16 & over,All,level,People
1993-04-01,Mar-May 1993,MGSC,2952045.22199257,All aged 16 & over,All,level,People
1993-05-01,Apr-Jun 1993,MGSC,2930980.8022586056,All aged 16 & over,All,level,People
1993-06-01,May-Jul 1993,MGSC,2927004.434041789,All aged 16 & over,All,level,People
1993-07-01,Jun-Aug 1993,MGSC,2906235.043010229,All aged 16 & over,All,level,People
1993-08-01,Jul-Sep 1993,MGSC,2890124.4196563703,All aged 16 & over,All,level,People
1993-09-01,Aug-Oct 1993,MGSC,2891900.4717580564,All aged 16 & over,All,level,People
1993-10-01,Sep-Nov 1993,MGSC,2885450.0054422794,All aged 16 & over,All,level,People
1993-11-01,Oct-Dec 1993,MGSC,2892462.821669126,All aged 16 & over,All,level,People
1993-12-01,Nov-Jan 1994,MGSC,2892170.0178706073,All aged 16 & over,All,level,People
1994-01-01,Dec-Feb 1994,MGSC,2845123.1009252453,All aged 16 & over,All,level,People
1994-02-01,Jan-Mar 1994,MGSC,2806083.664283388,All aged 16 & over,All,level,People
1994-03-01,Feb-Apr 1994,MGSC,2769350.7089075325,All aged 16 & over,All,level,People
1994-04-01,Mar-May 1994,MGSC,2749738.1624632194,All aged 16 & over,All,level,People
1994-05-01,Apr-Jun 1994,MGSC,2735968.4604138164,All aged 16 & over,All,level,People
1994-06-01,May-Jul 1994,MGSC,2705398.8967254297,All aged 16 & over,All,level,People
