date,date_name,variable_name,value,age,category,measure_type,group
1994-07-01,Jun-Aug 1994,MGSC,2690974.1270217574,All aged 16 & over,All,level,People
1994-08-01,Jul-Sep 1994,MGSC,2639303.730102255,All aged 16 & over,All,level,People
1994-09-01,Aug-Oct 1994,MGSC,2607866.1325672576,All aged 16 & over,All,level,People
1994-10-01,Sep-Nov 1994,MGSC,2555635.7381248027,All aged 16 & over,All,level,People
1994-11-01,Oct-Dec 1994,MGSC,2520664.921598131,All aged 16 & over,All,level,People
1994-12-01,Nov-Jan 1995,MGSC,2497059.2345813457,All aged 16 & over,All,level,People
1995-01-01,Dec-Feb 1995,MGSC,2495887.745276613,All aged 16 & over,All,level,People
1995-02-01,Jan-Mar 1995,MGSC,2497190.347036775,All aged 16 & over,All,level,People
1995-03-01,Feb-Apr 1995,MGSC,2489847.099940832,All aged 16 & over,All,level,People
1995-04-01,Mar-May 1995,MGSC,2472717.208390305,All aged 16 & over,All,level,People
1995-05-01,Apr-Jun 1995,MGSC,2444536.370531641,All aged 16 & over,All,level,People
1995-06-01,May-Jul 1995,MGSC,2447892.2048378093,All aged 16 & over,All,level,People
1995-07-01,Jun-Aug 1995,MGSC,2438575.1944878697,All aged 16 & over,All,level,People
1995-08-01,Jul-Sep 1995,MGSC,2447352.640106525,All aged 16 & over,All,level,People
1995-09-01,Aug-Oct 1995,MGSC,2437556.876603631,All aged 16 & over,All,level,People
1995-10-01,Sep-Nov 1995,MGSC,2421327.834016967,All aged 16 & over,All,level,People
1995-11-01,Oct-Dec 1995,MGSC,2352932.053670103,All aged 16 & over,All,level,People
1995-12-01,Nov-Jan 1996,MGSC,2376522.96617042,All aged 16 & over,All,level,People
1996-01-01,Dec-Feb 1996,MGSC,2356961.1201987835,All aged 16 & over,All,level,People
1996-02-01,Jan-Mar 1996,MGSC,2330347.96157683,All aged 16 & over,All,level,People
1996-03-01,Feb-Apr 1996,MGSC,2349604.8213174185,All aged 16 & over,All,level,People
1996-04-01,Mar-May 1996,MGSC,2347223.3761610007,All aged 16 & over,All,level,People
1996-05-01,Apr-Jun 1996,MGSC,2340218.745356001,All aged 16 & over,All,level,People
1996-06-01,May-Jul 1996,MGSC,2314475.6812636997,All aged 16 & over,All,level,People
1996-07-01,Jun-Aug 1996,MGSC,2285187.2856414355,All aged 16 & over,All,level,People
1996-08-01,Jul-Sep 1996,MGSC,2285175.200813237,All aged 16 & over,All,level,People
1996-09-01,Aug-Oct 1996,MGSC,2287364.364559601,All aged 16 & over,All,level,People
1996-10-01,Sep-Nov 1996,MGSC,2262203.6930120923,All aged 16 & over,All,level,People
1996-11-01,Oct-Dec 1996,MGSC,2229194.5136054475,All aged 16 & over,All,level,People
1996-12-01,Nov-Jan 1997,MGSC,2181411.4710816797,All aged 16 & over,All,level,People
1997-01-01,Dec-Feb 1997,MGSC,2131321.116504971,All aged 16 & over,All,level,People
1997-02-01,Jan-Mar 1997,MGSC,2084653.1895305077,All aged 16 & over,All,level,People
1997-03-01,Feb-Apr 1997,MGSC,2052044.9929337038,All aged 16 & over,All,level,People
1997-04-01,Mar-May 1997,MGSC,2047477.669380749,All aged 16 & over,All,level,People
1997-05-01,Apr-Jun 1997,MGSC,2050844.593827629,All aged 16 & over,All,level,People
1997-06-01,May-Jul 1997,MGSC,2083380.5343018482,All aged 16 & over,All,level,People
1997-07-01,Jun-Aug 1997,MGSC,2022185.9306591186,All aged 16 & over,All,level,People
1997-08-01,Jul-Sep 1997,MGSC,1950969.6880711168,All aged 16 & over,All,level,People
1997-09-01,Aug-Oct 1997,MGSC,1908852.364958507,All aged 16 & over,All,level,People
1997-10-01,Sep-Nov 1997,MGSC,1886827.801365747,All aged 16 & over,All,level,People
1997-11-01,Oct-Dec 1997,MGSC,1864179.8592035542,All aged 16 & over,All,level,People
1997-12-01,Nov-Jan 1998,MGSC,1821234.7764430775,All aged 16 & over,All,level,People
1998-01-01,Dec-Feb 1998,MGSC,1815870.3014555674,All aged 16 & over,All,level,People
1998-02-01,Jan-Mar 1998,MGSC,1813304.680535928,All aged 16 & over,All,level,People
1998-03-01,Feb-Apr 1998,MGSC,1799068.7690593111,All aged 16 & over,All,level,People
1998-04-01,Mar-May 1998,MGSC,1786631.0024188277,All aged 16 & over,All,level,People
1998-05-01,Apr-Jun 1998,MGSC,1791205.09446681,All aged 16 & over,All,level,People
1998-06-01,May-Jul 1998,MGSC,1800202.4727020115,All aged 16 & over,All,level,People
1998-07-01,Jun-Aug 1998,MGSC,1807223.7277577957,All aged 16 & over,All,level,People
1998-08-01,Jul-Sep 1998,MGSC,1785885.9810126582,All aged 16 & over,All,level,People
1998-09-01,Aug-Oct 1998,MGSC,1781861.9694791199,All aged 16 & over,All,level,People
1998-10-01,Sep-Nov 1998,MGSC,1767649.2388982568,All aged 16 & over,All,level,People
1998-11-01,Oct-Dec 1998,MGSC,1764261.2997938688,All aged 16 & over,All,level,People
1998-12-01,Nov-Jan 1999,MGSC,1790195.625546496,All aged 16 & over,All,level,People
1999-01-01,Dec-Feb 1999,MGSC,1794205.5830958323,All aged 16 & over,All,level,People
1999-02-01,Jan-Mar 1999,MGSC,1779661.6011416127,All aged 16 & over,All,level,People
1999-03-01,Feb-Apr 1999,MGSC,1773393.120210696,All aged 16 & over,All,level,People
1999-04-01,Mar-May 1999,MGSC,1760478.737476977,All aged 16 & over,All,level,People
1999-05-01,Apr-Jun 1999,MGSC,1743226.6172073374,All aged 16 & over,All,level,People
1999-06-01,May-Jul 1999,MGSC,1723053.7316024809,All aged 16 & over,All,level,People
1999-07-01,Jun-Aug 1999,MGSC,1704783.4881508364,All aged 16 & over,All,level,People
1999-08-01,Jul-Sep 1999,MGSC,1702362.2124939007,All aged 16 & over,All,level,People
1999-09-01,Aug-Oct 1999,MGSC,1687054.0279930795,All aged 16 & over,All,level,People
1999-10-01,Sep-Nov 1999,MGSC,1693327.057613346,All aged 16 & over,All,level,People
1999-11-01,Oct-Dec 1999,MGSC,1684195.9106187136,All aged 16 & over,All,level,People
1999-12-01,Nov-Jan 2000,MGSC,1701752.933572223,All aged 16 & over,All,level,People
2000-01-01,Dec-Feb 2000,MGSC,1684706.4272008291,All aged 16 & over,All,level,People
2000-02-01,Jan-Mar 2000,MGSC,1682475.6162256286,All aged 16 & over,All,level,People
2000-03-01,Feb-Apr 2000,MGSC,1654981.9908249488,All aged 16 & over,All,level,People
2000-04-01,Mar-May 2000,MGSC,1639754.128371473,All aged 16 & over,All,level,People
2000-05-01,Apr-Jun 2000,MGSC,1598836.3672523336,All aged 16 & over,All,level,People
2000-06-01,May-Jul 2000,MGSC,1551467.2881767354,All aged 16 & over,All,level,People
2000-07-01,Jun-Aug 2000,MGSC,1529041.3450954307,All aged 16 & over,All,level,People
2000-08-01,Jul-Sep 2000,MGSC,1547853.870597386,All aged 16 & over,All,level,People
2000-09-01,Aug-Oct 2000,MGSC,1570902.2362516066,All aged 16 & over,All,level,People
2000-10-01,Sep-Nov 2000,MGSC,1539702.6313525666,All aged 16 & over,All,level,People
2000-11-01,Oct-Dec 2000,MGSC,1519515.1544457339,All aged 16 & over,All,level,People
2000-12-01,Nov-Jan 2001,MGSC,1504447.1030706037,All aged 16 & over,All,level,People
2001-01-01,Dec-Feb 2001,MGSC,1516207.3098390386,All aged 16 & over,All,level,People
2001-02-01,Jan-Mar 2001,MGSC,1481307.4912755482,All aged 16 & over,All,level,People
2001-03-01,Feb-Apr 2001,MGSC,1459143.4946607384,All aged 16 & over,All,level,People
2001-04-01,Mar-May 2001,MGSC,1430567.2448004954,All aged 16 & over,All,level,People
2001-05-01,Apr-Jun 2001,MGSC,1467687.2816932183,All aged 16 & over,All,level,People
2001-06-01,May-Jul 2001,MGSC,1472074.4137383094,All aged 16 & over,All,level,People
2001-07-01,Jun-Aug 2001,MGSC,1482733.414206515,All aged 16 & over,All,level,People
2001-08-01,Jul-Sep 2001,MGSC,1487350.4850554457,All aged 16 & over,All,level,People
2001-09-01,Aug-Oct 2001,MGSC,1487482.9531210472,All aged 16 & over,All,level,People
2001-10-01,Sep-Nov 2001,MGSC,1495267.5855104662,All aged 16 & over,All,level,People
2001-11-01,Oct-Dec 2001,MGSC,1519645.7500752779,All aged 16 & over,All,level,People
2001-12-01,Nov-Jan 2002,MGSC,1518179.0593160584,All aged 16 & over,All,level,People
2002-01-01,Dec-Feb 2002,MGSC,1507644.6407660113,All aged 16 & over,All,level,People
2002-02-01,Jan-Mar 2002,MGSC,1515089.1315524462,All aged 16 & over,All,level,People
2002-03-01,Feb-Apr 2002,MGSC,1522333.5393516866,All aged 16 & over,All,level,People
2002-04-01,Mar-May 2002,MGSC,1542318.0510825037,All aged 16 & over,All,level,People
2002-05-01,Apr-Jun 2002,MGSC,1519523.7073273403,All aged 16 & over,All,level,People
2002-06-01,May-Jul 2002,MGSC,1526845.6293584658,All aged 16 & over,All,level,People
2002-07-01,Jun-Aug 2002,MGSC,1539080.9320342555,All aged 16 & over,All,level,People
2002-08-01,Jul-Sep 2002,MGSC,1566028.43074581,All aged 16 & over,All,level,People
2002-09-01,Aug-Oct 2002,MGSC,1545649.231810633,All aged 16 & over,All,level,People
2002-10-01,Sep-Nov 2002,MGSC,1531642.5278659796,All aged 16 & over,All,level,People
2002-11-01,Oct-Dec 2002,MGSC,1515743.777315139,All aged 16 & over,All,level,People
2002-12-01,Nov-Jan 2003,MGSC,1480441.6556630486,All aged 16 & over,All,level,People
2003-01-01,Dec-Feb 2003,MGSC,1516570.37329318,All aged 16 & over,All,level,People
2003-02-01,Jan-Mar 2003,MGSC,1530844.6169135782,All aged 16 & over,All,level,People
2003-03-01,Feb-Apr 2003,MGSC,1517451.8417025693,All aged 16 & over,All,level,People
2003-04-01,Mar-May 2003,MGSC,1485625.7495699404,All aged 16 & over,All,level,People
2003-05-01,Apr-Jun 2003,MGSC,1466762.7341414704,All aged 16 & over,All,level,People
2003-06-01,May-Jul 2003,MGSC,1506164.9410002034,All aged 16 & over,All,level,People
2003-07-01,Jun-Aug 2003,MGSC,1503791.1745652286,All aged 16 & over,All,level,People
2003-08-01,Jul-Sep 2003,MGSC,1502356.7574931171,All aged 16 & over,All,level,People
2003-09-01,Aug-Oct 2003,MGSC,1473082.471868617,All aged 16 & over,All,level,People
2003-10-01,Sep-Nov 2003,MGSC,1461181.7623884655,All aged 16 & over,All,level,People
2003-11-01,Oct-Dec 2003,MGSC,1457173.9534195252,All aged 16 & over,All,level,People
2003-12-01,Nov-Jan 2004,MGSC,1441586.8664321802,All aged 16 & over,All,level,People
2004-01-01,Dec-Feb 2004,MGSC,1436123.7928290605,All aged 16 & over,All,level,People
2004-02-01,Jan-Mar 2004,MGSC,1434146.5297145904,All aged 16 & over,All,level,People
2004-03-01,Feb-Apr 2004,MGSC,1437419.463157046,All aged 16 & over,All,level,People
2004-04-01,Mar-May 2004,MGSC,1434616.0176310106,All aged 16 & over,All,level,People
2004-05-01,Apr-Jun 2004,MGSC,1437108.674760325,All aged 16 & over,All,level,People
2004-06-01,May-Jul 2004,MGSC,1423071.783021218,All aged 16 & over,All,level,People
2004-07-01,Jun-Aug 2004,MGSC,1404859.7109276243,All aged 16 & over,All,level,People
2004-08-01,Jul-Sep 2004,MGSC,1401336.6326153297,All aged 16 & over,All,level,People
2004-09-01,Aug-Oct 2004,MGSC,1396635.8293425085,All aged 16 & over,All,level,People
2004-10-01,Sep-Nov 2004,MGSC,1406862.3803271342,All aged 16 & over,All,level,People
2004-11-01,Oct-Dec 2004,MGSC,1423237.3528363733,All aged 16 & over,All,level,People
2004-12-01,Nov-Jan 2005,MGSC,1425325.7675382122,All aged 16 & over,All,level,People
2005-01-01,Dec-Feb 2005,MGSC,1446631.098966797,All aged 16 & over,All,level,People
2005-02-01,Jan-Mar 2005,MGSC,1416408.081828897,All aged 16 & over,All,level,People
2005-03-01,Feb-Apr 2005,MGSC,1419720.1043364361,All aged 16 & over,All,level,People
2005-04-01,Mar-May 2005,MGSC,1435644.8509887368,All aged 16 & over,All,level,People
2005-05-01,Apr-Jun 2005,MGSC,1437458.1986089447,All aged 16 & over,All,level,People
2005-06-01,May-Jul 2005,MGSC,1423632.3517231208,All aged 16 & over,All,level,People
2005-07-01,Jun-Aug 2005,MGSC,1420301.6208520099,All aged 16 & over,All,level,People
2005-08-01,Jul-Sep 2005,MGSC,1436918.6069097812,All aged 16 & over,All,level,People
2005-09-01,Aug-Oct 2005,MGSC,1499915.453134438,All aged 16 & over,All,level,People
2005-10-01,Sep-Nov 2005,MGSC,1537649.0606370615,All aged 16 & over,All,level,People
2005-11-01,Oct-Dec 2005,MGSC,1566939.8181433957,All aged 16 & over,All,level,People
2005-12-01,Nov-Jan 2006,MGSC,1550723.5274592815,All aged 16 & over,All,level,People
2006-01-01,Dec-Feb 2006,MGSC,1584013.0428962368,All aged 16 & over,All,level,People
2006-02-01,Jan-Mar 2006,MGSC,1604365.0542521523,All aged 16 & over,All,level,People
2006-03-01,Feb-Apr 2006,MGSC,1632945.5648482796,All aged 16 & over,All,level,People
2006-04-01,Mar-May 2006,MGSC,1664342.4914044638,All aged 16 & over,All,level,People
2006-05-01,Apr-Jun 2006,MGSC,1684863.8326287055,All aged 16 & over,All,level,People
2006-06-01,May-Jul 2006,MGSC,1697855.724214987,All aged 16 & over,All,level,People
2006-07-01,Jun-Aug 2006,MGSC,1690043.6881072042,All aged 16 & over,All,level,People
2006-08-01,Jul-Sep 2006,MGSC,1693399.6213673535,All aged 16 & over,All,level,People
2006-09-01,Aug-Oct 2006,MGSC,1691050.333688675,All aged 16 & over,All,level,People
2006-10-01,Sep-Nov 2006,MGSC,1673515.9776668078,All aged 16 & over,All,level,People
2006-11-01,Oct-Dec 2006,MGSC,1700679.5437057316,All aged 16 & over,All,level,People
2006-12-01,Nov-Jan 2007,MGSC,1702893.9389946808,All aged 16 & over,All,level,People
2007-01-01,Dec-Feb 2007,MGSC,1707725.4789551422,All aged 16 & over,All,level,People
2007-02-01,Jan-Mar 2007,MGSC,1703630.038967345,All aged 16 & over,All,level,People
2007-03-01,Feb-Apr 2007,MGSC,1692292.4060345308,All aged 16 & over,All,level,People
2007-04-01,Mar-May 2007,MGSC,1669795.631606752,All aged 16 & over,All,level,People
2007-05-01,Apr-Jun 2007,MGSC,1657561.0565197652,All aged 16 & over,All,level,People
2007-06-01,May-Jul 2007,MGSC,1644790.9802744505,All aged 16 & over,All,level,People
2007-07-01,Jun-Aug 2007,MGSC,1644636.8751965251,All aged 16 & over,All,level,People
2007-08-01,Jul-Sep 2007,MGSC,1649852.2456102925,All aged 16 & over,All,level,People
2007-09-01,Aug-Oct 2007,MGSC,1629374.8748130281,All aged 16 & over,All,level,People
2007-10-01,Sep-Nov 2007,MGSC,1632551.0131793856,All aged 16 & over,All,level,People
2007-11-01,Oct-Dec 2007,MGSC,1608040.288836854,All aged 16 & over,All,level,People
2007-12-01,Nov-Jan 2008,MGSC,1616870.5631652195,All aged 16 & over,All,level,People
2008-01-01,Dec-Feb 2008,MGSC,1621601.5910139666,All aged 16 & over,All,level,People
2008-02-01,Jan-Mar 2008,MGSC,1622486.6594816956,All aged 16 & over,All,level,People
2008-03-01,Feb-Apr 2008,MGSC,1667246.927582305,All aged 16 & over,All,level,People
2008-04-01,Mar-May 2008,MGSC,1624707.0630859714,All aged 16 & over,All,level,People
2008-05-01,Apr-Jun 2008,MGSC,1680152.318529159,All aged 16 & over,All,level,People
2008-06-01,May-Jul 2008,MGSC,1723914.5089085419,All aged 16 & over,All,level,People
2008-07-01,Jun-Aug 2008,MGSC,1793118.1099961316,All aged 16 & over,All,level,People
2008-08-01,Jul-Sep 2008,MGSC,1839785.2978706807,All aged 16 & over,All,level,People
2008-09-01,Aug-Oct 2008,MGSC,1874553.2909203675,All aged 16 & over,All,level,People
2008-10-01,Sep-Nov 2008,MGSC,1941135.071320841,All aged 16 & over,All,level,People
2008-11-01,Oct-Dec 2008,MGSC,2003173.7920852266,All aged 16 & over,All,level,People
2008-12-01,Nov-Jan 2009,MGSC,2057332.3574915288,All aged 16 & over,All,level,People
2009-01-01,Dec-Feb 2009,MGSC,2128405.713572895,All aged 16 & over,All,level,People
2009-02-01,Jan-Mar 2009,MGSC,2234703.719074792,All aged 16 & over,All,level,People
2009-03-01,Feb-Apr 2009,MGSC,2296411.12441397,All aged 16 & over,All,level,People
2009-04-01,Mar-May 2009,MGSC,2394608.4763449226,All aged 16 & over,All,level,People
2009-05-01,Apr-Jun 2009,MGSC,2448383.462885813,All aged 16 & over,All,level,People
2009-06-01,May-Jul 2009,MGSC,2478245.8888798235,All aged 16 & over,All,level,People
2009-07-01,Jun-Aug 2009,MGSC,2483796.077929775,All aged 16 & over,All,level,People
2009-08-01,Jul-Sep 2009,MGSC,2475439.463461455,All aged 16 & over,All,level,People
2009-09-01,Aug-Oct 2009,MGSC,2483874.7739418354,All aged 16 & over,All,level,People
2009-10-01,Sep-Nov 2009,MGSC,2454725.416125247,All aged 16 & over,All,level,People
2009-11-01,Oct-Dec 2009,MGSC,2452614.1823600233,All aged 16 & over,All,level,People
2009-12-01,Nov-Jan 2010,MGSC,2433994.7189028007,All aged 16 & over,All,level,People
2010-01-01,Dec-Feb 2010,MGSC,2496312.2404239606,All aged 16 & over,All,level,People
2010-02-01,Jan-Mar 2010,MGSC,2526117.502900427,All aged 16 & over,All,level,People
2010-03-01,Feb-Apr 2010,MGSC,2509542.269363748,All aged 16 & over,All,level,People
2010-04-01,Mar-May 2010,MGSC,2507703.9085007124,All aged 16 & over,All,level,People
2010-05-01,Apr-Jun 2010,MGSC,2487586.4343604315,All aged 16 & over,All,level,People
2010-06-01,May-Jul 2010,MGSC,2487888.078691182,All aged 16 & over,All,level,People
2010-07-01,Jun-Aug 2010,MGSC,2475873.813955332,All aged 16 & over,All,level,People
2010-08-01,Jul-Sep 2010,MGSC,2470289.915312855,All aged 16 & over,All,level,People
2010-09-01,Aug-Oct 2010,MGSC,2512940.235747492,All aged 16 & over,All,level,People
2010-10-01,Sep-Nov 2010,MGSC,2501869.6205133335,All aged 16 & over,All,level,People
2010-11-01,Oct-Dec 2010,MGSC,2502647.035496386,All aged 16 & over,All,level,People
2010-12-01,Nov-Jan 2011,MGSC,2524049.8179023503,All aged 16 & over,All,level,People
2011-01-01,Dec-Feb 2011,MGSC,2491674.4541270514,All aged 16 & over,All,level,People
2011-02-01,Jan-Mar 2011,MGSC,2483220.803536227,All aged 16 & over,All,level,People
2011-03-01,Feb-Apr 2011,MGSC,2461507.7860695836,All aged 16 & over,All,level,People
2011-04-01,Mar-May 2011,MGSC,2500440.089803457,All aged 16 & over,All,level,People
2011-05-01,Apr-Jun 2011,MGSC,2539721.654291189,All aged 16 & over,All,level,People
2011-06-01,May-Jul 2011,MGSC,2556212.9436219605,All aged 16 & over,All,level,People
2011-07-01,Jun-Aug 2011,MGSC,2610645.554251107,All aged 16 & over,All,level,People
2011-08-01,Jul-Sep 2011,MGSC,2661730.066621092,All aged 16 & over,All,level,People
2011-09-01,Aug-Oct 2011,MGSC,2677061.550366304,All aged 16 & over,All,level,People
2011-10-01,Sep-Nov 2011,MGSC,2712799.2592390333,All aged 16 & over,All,level,People
2011-11-01,Oct-Dec 2011,MGSC,2688679.66094618,All aged 16 & over,All,level,People
2011-12-01,Nov-Jan 2012,MGSC,2674447.721300955,All aged 16 & over,All,level,People
2012-01-01,Dec-Feb 2012,MGSC,2655351.4785433626,All aged 16 & over,All,level,People
2012-02-01,Jan-Mar 2012,MGSC,2634556.8834079895,All aged 16 & over,All,level,People
2012-03-01,Feb-Apr 2012,MGSC,2625127.535794302,All aged 16 & over,All,level,People
2012-04-01,Mar-May 2012,MGSC,2598893.263664834,All aged 16 & over,All,level,People
2012-05-01,Apr-Jun 2012,MGSC,2576802.9351959582,All aged 16 & over,All,level,People
2012-06-01,May-Jul 2012,MGSC,2599944.0978128575,All aged 16 & over,All,level,People
2012-07-01,Jun-Aug 2012,MGSC,2550672.578519655,All aged 16 & over,All,level,People
2012-08-01,Jul-Sep 2012,MGSC,2538522.622337779,All aged 16 & over,All,level,People
2012-09-01,Aug-Oct 2012,MGSC,2534434.0651605744,All aged 16 & over,All,level,People
2012-10-01,Sep-Nov 2012,MGSC,2532106.414786269,All aged 16 & over,All,level,People
2012-11-01,Oct-Dec 2012,MGSC,2534936.6339579616,All aged 16 & over,All,level,People
2012-12-01,Nov-Jan 2013,MGSC,2536541.485237542,All aged 16 & over,All,level,People
2013-01-01,Dec-Feb 2013,MGSC,2584096.1175379134,All aged 16 & over,All,level,People
2013-02-01,Jan-Mar 2013,MGSC,2540058.4513825877,All aged 16 & over,All,level,People
2013-03-01,Feb-Apr 2013,MGSC,2525332.6023747325,All aged 16 & over,All,level,People
2013-04-01,Mar-May 2013,MGSC,2511435.4283800633,All aged 16 & over,All,level,People
2013-05-01,Apr-Jun 2013,MGSC,2514521.6716221785,All aged 16 & over,All,level,People
2013-06-01,May-Jul 2013,MGSC,2492076.5552509767,All aged 16 & over,All,level,People
2013-07-01,Jun-Aug 2013,MGSC,2503883.1893635914,All aged 16 & over,All,level,People
2013-08-01,Jul-Sep 2013,MGSC,2482702.8518296545,All aged 16 & over,All,level,People
2013-09-01,Aug-Oct 2013,MGSC,2404238.2044286793,All aged 16 & over,All,level,People
2013-10-01,Sep-Nov 2013,MGSC,2340299.9220170416,All aged 16 & over,All,level,People
2013-11-01,Oct-Dec 2013,MGSC,2357367.558062263,All aged 16 & over,All,level,People
2013-12-01,Nov-Jan 2014,MGSC,2339644.313165826,All aged 16 & over,All,level,People
2014-01-01,Dec-Feb 2014,MGSC,2256209.0524698766,All aged 16 & over,All,level,People
2014-02-01,Jan-Mar 2014,MGSC,2211676.7849763585,All aged 16 & over,All,level,People
2014-03-01,Feb-Apr 2014,MGSC,2160959.6527924286,All aged 16 & over,All,level,People
2014-04-01,Mar-May 2014,MGSC,2111986.9760725927,All aged 16 & over,All,level,People
2014-05-01,Apr-Jun 2014,MGSC,2060697.1442135472,All aged 16 & over,All,level,People
2014-06-01,May-Jul 2014,MGSC,2009539.3723574372,All aged 16 & over,All,level,People
2014-07-01,Jun-Aug 2014,MGSC,1971604.9522744613,All aged 16 & over,All,level,People
2014-08-01,Jul-Sep 2014,MGSC,1961300.380059191,All aged 16 & over,All,level,People
2014-09-01,Aug-Oct 2014,MGSC,1953421.1525529544,All aged 16 & over,All,level,People
2014-10-01,Sep-Nov 2014,MGSC,1924170.3432081642,All aged 16 & over,All,level,People
2014-11-01,Oct-Dec 2014,MGSC,1869988.58456656,All aged 16 & over,All,level,People
2014-12-01,Nov-Jan 2015,MGSC,1858245.0534314825,All aged 16 & over,All,level,People
2015-01-01,Dec-Feb 2015,MGSC,1840230.617550923,All aged 16 & over,All,level,People
2015-02-01,Jan-Mar 2015,MGSC,1825965.2005981682,All aged 16 & over,All,level,People
2015-03-01,Feb-Apr 2015,MGSC,1813098.0007452758,All aged 16 & over,All,level,People
2015-04-01,Mar-May 2015,MGSC,1848463.7035412746,All aged 16 & over,All,level,People
2015-05-01,Apr-Jun 2015,MGSC,1848596.385412036,All aged 16 & over,All,level,People
2015-06-01,May-Jul 2015,MGSC,1821749.6625917074,All aged 16 & over,All,level,People
2015-07-01,Jun-Aug 2015,MGSC,1779380.878570225,All aged 16 & over,All,level,People
2015-08-01,Jul-Sep 2015,MGSC,1760333.4830445799,All aged 16 & over,All,level,People
2015-09-01,Aug-Oct 2015,MGSC,1715351.319081738,All aged 16 & over,All,level,People
2015-10-01,Sep-Nov 2015,MGSC,1687024.1352542033,All aged 16 & over,All,level,People
2015-11-01,Oct-Dec 2015,MGSC,1687559.4028044012,All aged 16 & over,All,level,People
2015-12-01,Nov-Jan 2016,MGSC,1684258.7993399096,All aged 16 & over,All,level,People
2016-01-01,Dec-Feb 2016,MGSC,1700406.6527234619,All aged 16 & over,All,level,People
2016-02-01,Jan-Mar 2016,MGSC,1686569.129284347,All aged 16 & over,All,level,People
2016-03-01,Feb-Apr 2016,MGSC,1665810.7411846544,All aged 16 & over,All,level,People
2016-04-01,Mar-May 2016,MGSC,1647619.6129473601,All aged 16 & over,All,level,People
2016-05-01,Apr-Jun 2016,MGSC,1643240.7394571728,All aged 16 & over,All,level,People
2016-06-01,May-Jul 2016,MGSC,1635177.1148914334,All aged 16 & over,All,level,People
2016-07-01,Jun-Aug 2016,MGSC,1668316.3640298978,All aged 16 & over,All,level,People
2016-08-01,Jul-Sep 2016,MGSC,1617538.1620811094,All aged 16 & over,All,level,People
2016-09-01,Aug-Oct 2016,MGSC,1613233.1799738244,All aged 16 & over,All,level,People
2016-10-01,Sep-Nov 2016,MGSC,1601680.4549723538,All aged 16 & over,All,level,People
2016-11-01,Oct-Dec 2016,MGSC,1585306.0524847656,All aged 16 & over,All,level,People
2016-12-01,Nov-Jan 2017,MGSC,1573144.273228011,All aged 16 & over,All,level,People
2017-01-01,Dec-Feb 2017,MGSC,1550403.9537592968,All aged 16 & over,All,level,People
2017-02-01,Jan-Mar 2017,MGSC,1527496.711144896,All aged 16 & over,All,level,People
2017-03-01,Feb-Apr 2017,MGSC,1519885.9879645924,All aged 16 & over,All,level,People
2017-04-01,Mar-May 2017,MGSC,1489182.4566797388,All aged 16 & over,All,level,People
