date,freq,variable,value
1950-01-01,a,BCJA,341.1
1951-01-01,a,BCJA,281.4
1952-01-01,a,BCJA,462.5
1953-01-01,a,BCJA,380.0
1954-01-01,a,BCJA,317.8
1955-01-01,a,BCJA,264.5
1956-01-01,a,BCJA,287.1
1957-01-01,a,BCJA,347.2
1958-01-01,a,BCJA,500.9
1959-01-01,a,BCJA,512.1
1960-01-01,a,BCJA,392.8
1961-01-01,a,BCJA,376.8
1962-01-01,a,BCJA,499.9
1963-01-01,a,BCJA,612.3
1964-01-01,a,BCJA,413.4
1965-01-01,a,BCJA,359.7
1965-01-01,a,DPAJ,1.3
1965-01-01,q,DPAJ,1.3
1965-01-01,m,DPAJ,1.3
1965-01-01,a,DPBI,1.0
1965-01-01,q,DPBI,1.0
1965-01-01,m,DPBI,1.0
1965-01-01,a,DPBJ,0.8
1965-01-01,q,DPBJ,0.7
1965-01-01,m,DPBJ,0.7
1965-01-01,a,DPBM,1.5
1965-01-01,q,DPBM,1.4
1965-01-01,m,DPBM,1.4
1965-01-01,a,DPBN,0.6
1965-01-01,q,DPBN,0.6
1965-01-01,m,DPBN,0.6
1965-01-01,a,DPBP,2.4
1965-01-01,q,DPBP,2.3
1965-01-01,m,DPBP,2.3
1965-01-01,a,DPBQ,2.8
1965-01-01,q,DPBQ,3.0
1965-01-01,m,DPBQ,3.0
1965-01-01,a,DPBR,5.9
1965-01-01,q,DPBR,5.9
1965-02-01,m,DPAJ,1.3
1965-02-01,m,DPBI,1.0
1965-02-01,m,DPBJ,0.7
1965-02-01,m,DPBM,1.4
1965-02-01,m,DPBN,0.6
1965-02-01,m,DPBP,2.3
1965-02-01,m,DPBQ,3.0
1965-03-01,m,DPAJ,1.3
1965-03-01,m,DPBI,1.0
1965-03-01,m,DPBJ,0.7
1965-03-01,m,DPBM,1.4
1965-03-01,m,DPBN,0.6
1965-03-01,m,DPBP,2.3
1965-03-01,m,DPBQ,3.0
1965-04-01,q,DPAJ,1.3
1965-04-01,m,DPAJ,1.3
1965-04-01,q,DPBI,1.0
1965-04-01,m,DPBI,1.0
1965-04-01,q,DPBJ,0.8
1965-04-01,m,DPBJ,0.8
1965-04-01,q,DPBM,1.5
1965-04-01,m,DPBM,1.5
1965-04-01,q,DPBN,0.6
1965-04-01,m,DPBN,0.6
1965-04-01,q,DPBP,2.4
1965-04-01,m,DPBP,2.4
1965-04-01,q,DPBQ,2.8
1965-04-01,m,DPBQ,2.8
1965-04-01,q,DPBR,6.0
1965-05-01,m,DPAJ,1.3
1965-05-01,m,DPBI,1.0
1965-05-01,m,DPBJ,0.8
1965-05-01,m,DPBM,1.5
1965-05-01,m,DPBN,0.6
1965-05-01,m,DPBP,2.4
1965-05-01,m,DPBQ,2.8
1965-06-01,m,DPAJ,1.3
1965-06-01,m,DPBI,1.0
1965-06-01,m,DPBJ,0.8
1965-06-01,m,DPBM,1.5
1965-06-01,m,DPBN,0.6
1965-06-01,m,DPBP,2.4
1965-06-01,m,DPBQ,2.8
1965-07-01,q,DPAJ,1.4
1965-07-01,m,DPAJ,1.4
1965-07-01,q,DPBI,1.1
1965-07-01,m,DPBI,1.1
1965-07-01,q,DPBJ,0.9
1965-07-01,m,DPBJ,0.9
1965-07-01,q,DPBM,1.6
1965-07-01,m,DPBM,1.6
1965-07-01,q,DPBN,0.7
1965-07-01,m,DPBN,0.7
1965-07-01,q,DPBP,2.5
1965-07-01,m,DPBP,2.4
1965-07-01,q,DPBQ,2.8
1965-07-01,m,DPBQ,2.8
1965-07-01,q,DPBR,6.0
1965-08-01,m,DPAJ,1.4
1965-08-01,m,DPBI,1.1
1965-08-01,m,DPBJ,0.9
1965-08-01,m,DPBM,1.6
1965-08-01,m,DPBN,0.7
1965-08-01,m,DPBP,2.6
1965-08-01,m,DPBQ,2.8
1965-09-01,m,DPAJ,1.4
1965-09-01,m,DPBI,1.1
1965-09-01,m,DPBJ,0.9
1965-09-01,m,DPBM,1.6
1965-09-01,m,DPBN,0.7
1965-09-01,m,DPBP,2.6
1965-09-01,m,DPBQ,2.8
1965-10-01,q,DPAJ,1.3
1965-10-01,m,DPAJ,1.3
1965-10-01,q,DPBI,1.0
1965-10-01,m,DPBI,1.0
1965-10-01,q,DPBJ,0.9
1965-10-01,m,DPBJ,0.9
1965-10-01,q,DPBM,1.5
1965-10-01,m,DPBM,1.5
1965-10-01,q,DPBN,0.6
1965-10-01,m,DPBN,0.6
1965-10-01,q,DPBP,2.5
1965-10-01,m,DPBP,2.6
1965-10-01,q,DPBQ,2.7
1965-10-01,m,DPBQ,2.7
1965-10-01,q,DPBR,5.8
1965-11-01,m,DPAJ,1.3
1965-11-01,m,DPBI,1.0
1965-11-01,m,DPBJ,0.9
1965-11-01,m,DPBM,1.5
1965-11-01,m,DPBN,0.6
1965-11-01,m,DPBP,2.5
1965-11-01,m,DPBQ,2.7
1965-12-01,m,DPAJ,1.3
1965-12-01,m,DPBI,1.0
1965-12-01,m,DPBJ,0.9
1965-12-01,m,DPBM,1.5
1965-12-01,m,DPBN,0.6
1965-12-01,m,DPBP,2.5
1965-12-01,m,DPBQ,2.7
1966-01-01,a,BCJA,390.9
1966-01-01,a,DPAJ,1.4
1966-01-01,q,DPAJ,1.2
1966-01-01,m,DPAJ,1.2
1966-01-01,a,DPBI,1.1
1966-01-01,q,DPBI,0.8
1966-01-01,m,DPBI,0.8
1966-01-01,a,DPBJ,1.0
1966-01-01,q,DPBJ,0.8
1966-01-01,m,DPBJ,0.8
1966-01-01,a,DPBM,1.7
1966-01-01,q,DPBM,1.5
1966-01-01,m,DPBM,1.5
1966-01-01,a,DPBN,0.8
1966-01-01,q,DPBN,0.5
1966-01-01,m,DPBN,0.5
1966-01-01,a,DPBP,2.8
1966-01-01,q,DPBP,2.5
1966-01-01,m,DPBP,2.5
1966-01-01,a,DPBQ,2.7
1966-01-01,q,DPBQ,2.5
1966-01-01,m,DPBQ,2.5
1966-01-01,a,DPBR,5.8
1966-01-01,q,DPBR,5.4
1966-02-01,m,DPAJ,1.2
1966-02-01,m,DPBI,0.8
1966-02-01,m,DPBJ,0.8
1966-02-01,m,DPBM,1.5
1966-02-01,m,DPBN,0.5
1966-02-01,m,DPBP,2.5
1966-02-01,m,DPBQ,2.5
1966-03-01,m,DPAJ,1.2
1966-03-01,m,DPBI,0.8
1966-03-01,m,DPBJ,0.8
1966-03-01,m,DPBM,1.5
1966-03-01,m,DPBN,0.5
1966-03-01,m,DPBP,2.5
1966-03-01,m,DPBQ,2.5
1966-04-01,q,DPAJ,1.2
1966-04-01,m,DPAJ,1.2
1966-04-01,q,DPBI,0.9
1966-04-01,m,DPBI,0.9
1966-04-01,q,DPBJ,0.8
1966-04-01,m,DPBJ,0.8
1966-04-01,q,DPBM,1.5
1966-04-01,m,DPBM,1.5
1966-04-01,q,DPBN,0.6
1966-04-01,m,DPBN,0.6
1966-04-01,q,DPBP,2.5
1966-04-01,m,DPBP,2.5
1966-04-01,q,DPBQ,2.5
1966-04-01,m,DPBQ,2.5
1966-04-01,q,DPBR,5.5
1966-05-01,m,DPAJ,1.2
1966-05-01,m,DPBI,0.9
1966-05-01,m,DPBJ,0.8
1966-05-01,m,DPBM,1.5
1966-05-01,m,DPBN,0.6
1966-05-01,m,DPBP,2.5
1966-05-01,m,DPBQ,2.5
1966-06-01,m,DPAJ,1.2
1966-06-01,m,DPBI,0.9
1966-06-01,m,DPBJ,0.8
1966-06-01,m,DPBM,1.5
1966-06-01,m,DPBN,0.6
1966-06-01,m,DPBP,2.5
1966-06-01,m,DPBQ,2.5
1966-07-01,q,DPAJ,1.4
1966-07-01,m,DPAJ,1.4
1966-07-01,q,DPBI,1.1
1966-07-01,m,DPBI,1.1
1966-07-01,q,DPBJ,1.0
1966-07-01,m,DPBJ,1.0
1966-07-01,q,DPBM,1.7
1966-07-01,m,DPBM,1.7
1966-07-01,q,DPBN,0.7
1966-07-01,m,DPBN,0.7
1966-07-01,q,DPBP,2.7
1966-07-01,m,DPBP,2.7
1966-07-01,q,DPBQ,2.7
1966-07-01,m,DPBQ,2.7
1966-07-01,q,DPBR,5.9
1966-08-01,m,DPAJ,1.4
1966-08-01,m,DPBI,1.1
1966-08-01,m,DPBJ,1.0
1966-08-01,m,DPBM,1.7
1966-08-01,m,DPBN,0.7
1966-08-01,m,DPBP,2.7
1966-08-01,m,DPBQ,2.7
1966-09-01,m,DPAJ,1.4
1966-09-01,m,DPBI,1.1
1966-09-01,m,DPBJ,1.0
1966-09-01,m,DPBM,1.7
1966-09-01,m,DPBN,0.7
1966-09-01,m,DPBP,2.7
1966-09-01,m,DPBQ,2.7
1966-10-01,q,DPAJ,1.7
1966-10-01,m,DPAJ,1.7
1966-10-01,q,DPBI,1.4
1966-10-01,m,DPBI,1.4
1966-10-01,q,DPBJ,1.3
1966-10-01,m,DPBJ,1.3
1966-10-01,q,DPBM,2.2
1966-10-01,m,DPBM,2.2
1966-10-01,q,DPBN,1.2
1966-10-01,m,DPBN,1.2
1966-10-01,q,DPBP,3.3
1966-10-01,m,DPBP,3.3
1966-10-01,q,DPBQ,3.1
1966-10-01,m,DPBQ,3.1
1966-10-01,q,DPBR,6.5
1966-11-01,m,DPAJ,1.7
1966-11-01,m,DPBI,1.4
1966-11-01,m,DPBJ,1.3
1966-11-01,m,DPBM,2.2
1966-11-01,m,DPBN,1.2
1966-11-01,m,DPBP,3.3
1966-11-01,m,DPBQ,3.1
1966-12-01,m,DPAJ,1.7
1966-12-01,m,DPBI,1.4
1966-12-01,m,DPBJ,1.3
1966-12-01,m,DPBM,2.2
1966-12-01,m,DPBN,1.2
1966-12-01,m,DPBP,3.3
1966-12-01,m,DPBQ,3.1
1967-01-01,a,BCJA,599.1
1967-01-01,a,DPAJ,2.2
1967-01-01,q,DPAJ,2.0
1967-01-01,m,DPAJ,1.9
1967-01-01,a,DPBI,1.9
1967-01-01,q,DPBI,1.6
1967-01-01,m,DPBI,1.5
1967-01-01,a,DPBJ,1.6
1967-01-01,q,DPBJ,1.4
1967-01-01,m,DPBJ,1.4
1967-01-01,a,DPBM,2.4
1967-01-01,q,DPBM,2.3
1967-01-01,m,DPBM,2.3
1967-01-01,a,DPBN,1.8
1967-01-01,q,DPBN,1.5
1967-01-01,m,DPBN,1.4
1967-01-01,a,DPBP,3.9
1967-01-01,q,DPBP,3.6
1967-01-01,m,DPBP,3.6
1967-01-01,a,DPBQ,3.7
1967-01-01,q,DPBQ,3.4
1967-01-01,m,DPBQ,3.4
1967-01-01,a,DPBR,7.3
1967-01-01,q,DPBR,7.0
1967-02-01,m,DPAJ,2.0
1967-02-01,m,DPBI,1.6
1967-02-01,m,DPBJ,1.4
1967-02-01,m,DPBM,2.3
1967-02-01,m,DPBN,1.5
1967-02-01,m,DPBP,3.5
1967-02-01,m,DPBQ,3.4
1967-03-01,m,DPAJ,2.0
1967-03-01,m,DPBI,1.7
1967-03-01,m,DPBJ,1.5
1967-03-01,m,DPBM,2.3
1967-03-01,m,DPBN,1.6
1967-03-01,m,DPBP,3.6
1967-03-01,m,DPBQ,3.5
1967-04-01,q,DPAJ,2.2
1967-04-01,m,DPAJ,2.1
1967-04-01,q,DPBI,1.8
1967-04-01,m,DPBI,1.8
1967-04-01,q,DPBJ,1.6
1967-04-01,m,DPBJ,1.6
1967-04-01,q,DPBM,2.5
1967-04-01,m,DPBM,2.4
1967-04-01,q,DPBN,1.8
1967-04-01,m,DPBN,1.7
1967-04-01,q,DPBP,3.9
1967-04-01,m,DPBP,3.7
1967-04-01,q,DPBQ,3.7
1967-04-01,m,DPBQ,3.6
1967-04-01,q,DPBR,7.5
1967-05-01,m,DPAJ,2.2
1967-05-01,m,DPBI,1.8
1967-05-01,m,DPBJ,1.6
1967-05-01,m,DPBM,2.5
1967-05-01,m,DPBN,1.8
1967-05-01,m,DPBP,4.0
1967-05-01,m,DPBQ,3.7
1967-06-01,m,DPAJ,2.2
1967-06-01,m,DPBI,1.8
1967-06-01,m,DPBJ,1.6
1967-06-01,m,DPBM,2.5
1967-06-01,m,DPBN,1.9
1967-06-01,m,DPBP,4.0
1967-06-01,m,DPBQ,3.7
1967-07-01,q,DPAJ,2.3
1967-07-01,m,DPAJ,2.3
1967-07-01,q,DPBI,2.0
1967-07-01,m,DPBI,1.9
1967-07-01,q,DPBJ,1.7
1967-07-01,m,DPBJ,1.7
1967-07-01,q,DPBM,2.5
1967-07-01,m,DPBM,2.5
1967-07-01,q,DPBN,1.9
1967-07-01,m,DPBN,1.9
1967-07-01,q,DPBP,4.0
1967-07-01,m,DPBP,4.0
1967-07-01,q,DPBQ,3.8
1967-07-01,m,DPBQ,3.7
1967-07-01,q,DPBR,7.4
1967-08-01,m,DPAJ,2.3
1967-08-01,m,DPBI,2.0
1967-08-01,m,DPBJ,1.7
1967-08-01,m,DPBM,2.5
1967-08-01,m,DPBN,1.9
1967-08-01,m,DPBP,4.0
1967-08-01,m,DPBQ,3.8
1967-09-01,m,DPAJ,2.3
1967-09-01,m,DPBI,2.1
1967-09-01,m,DPBJ,1.7
1967-09-01,m,DPBM,2.5
1967-09-01,m,DPBN,2.0
1967-09-01,m,DPBP,4.0
1967-09-01,m,DPBQ,3.8
1967-10-01,q,DPAJ,2.3
1967-10-01,m,DPAJ,2.3
1967-10-01,q,DPBI,2.1
1967-10-01,m,DPBI,2.1
1967-10-01,q,DPBJ,1.7
1967-10-01,m,DPBJ,1.7
1967-10-01,q,DPBM,2.5
1967-10-01,m,DPBM,2.4
1967-10-01,q,DPBN,2.0
1967-10-01,m,DPBN,2.0
1967-10-01,q,DPBP,4.0
1967-10-01,m,DPBP,3.9
1967-10-01,q,DPBQ,3.8
1967-10-01,m,DPBQ,3.7
1967-10-01,q,DPBR,7.1
1967-11-01,m,DPAJ,2.3
1967-11-01,m,DPBI,2.1
1967-11-01,m,DPBJ,1.7
1967-11-01,m,DPBM,2.5
1967-11-01,m,DPBN,2.0
1967-11-01,m,DPBP,4.0
1967-11-01,m,DPBQ,3.8
1967-12-01,m,DPAJ,2.3
1967-12-01,m,DPBI,2.2
1967-12-01,m,DPBJ,1.7
1967-12-01,m,DPBM,2.5
1967-12-01,m,DPBN,2.0
1967-12-01,m,DPBP,4.0
1967-12-01,m,DPBQ,3.8
1968-01-01,a,BCJA,601.3
1968-01-01,a,DPAJ,2.3
1968-01-01,q,DPAJ,2.4
1968-01-01,m,DPAJ,2.4
1968-01-01,a,DPBI,2.5
1968-01-01,q,DPBI,2.4
1968-01-01,m,DPBI,2.3
1968-01-01,a,DPBJ,1.8
1968-01-01,q,DPBJ,1.8
1968-01-01,m,DPBJ,1.8
1968-01-01,a,DPBM,2.5
1968-01-01,q,DPBM,2.5
1968-01-01,m,DPBM,2.5
1968-01-01,a,DPBN,1.9
1968-01-01,q,DPBN,2.0
1968-01-01,m,DPBN,2.0
1968-01-01,a,DPBP,3.9
1968-01-01,q,DPBP,3.9
1968-01-01,m,DPBP,4.0
1968-01-01,a,DPBQ,3.7
1968-01-01,q,DPBQ,3.8
1968-01-01,m,DPBQ,3.9
1968-01-01,a,DPBR,7.0
1968-01-01,q,DPBR,6.7
1968-02-01,m,DPAJ,2.4
1968-02-01,m,DPBI,2.4
1968-02-01,m,DPBJ,1.8
1968-02-01,m,DPBM,2.5
1968-02-01,m,DPBN,2.1
1968-02-01,m,DPBP,3.9
1968-02-01,m,DPBQ,3.8
1968-03-01,m,DPAJ,2.3
1968-03-01,m,DPBI,2.4
1968-03-01,m,DPBJ,1.8
1968-03-01,m,DPBM,2.4
1968-03-01,m,DPBN,2.0
1968-03-01,m,DPBP,3.9
1968-03-01,m,DPBQ,3.7
1968-04-01,q,DPAJ,2.3
1968-04-01,m,DPAJ,2.3
1968-04-01,q,DPBI,2.5
1968-04-01,m,DPBI,2.4
1968-04-01,q,DPBJ,1.8
1968-04-01,m,DPBJ,1.8
1968-04-01,q,DPBM,2.4
1968-04-01,m,DPBM,2.5
1968-04-01,q,DPBN,2.0
1968-04-01,m,DPBN,2.0
1968-04-01,q,DPBP,3.9
1968-04-01,m,DPBP,3.9
1968-04-01,q,DPBQ,3.6
1968-04-01,m,DPBQ,3.7
1968-04-01,q,DPBR,7.0
1968-05-01,m,DPAJ,2.3
1968-05-01,m,DPBI,2.5
1968-05-01,m,DPBJ,1.8
1968-05-01,m,DPBM,2.4
1968-05-01,m,DPBN,2.0
1968-05-01,m,DPBP,3.9
1968-05-01,m,DPBQ,3.6
1968-06-01,m,DPAJ,2.3
1968-06-01,m,DPBI,2.5
1968-06-01,m,DPBJ,1.8
1968-06-01,m,DPBM,2.4
1968-06-01,m,DPBN,2.0
1968-06-01,m,DPBP,3.8
1968-06-01,m,DPBQ,3.6
1968-07-01,q,DPAJ,2.4
1968-07-01,m,DPAJ,2.4
1968-07-01,q,DPBI,2.5
1968-07-01,m,DPBI,2.5
